Directory of Federal Real Property
Real Property and Materiel Policy Division
Treasury Board of Canada Secretariat
Government of Canada

Security Level: Not Protected
Date: January 6th, 2023
Sort order:
Character set: ISO 8859 Latin 1
Field Delimiter: Comma
Text Qualifier: Double quote
Field Names: Included in line 16
Data: Begins on line 17
Help: DFRP-ADMIN-RBIF@tbs-sct.gc.ca

"Structure Number (TEXT data)","Structure Use Code (TEXT data)","Structure Use"
"118759","29 ","Residential"
"118760","29 ","Residential"
"118761","29 ","Residential"
"118762","29 ","Residential"
"118763","29 ","Residential"
"118764","29 ","Residential"
"118765","29 ","Residential"
"118766","29 ","Residential"
"118767","29 ","Residential"
"118768","29 ","Residential"
"118769","29 ","Residential"
"118770","29 ","Residential"
"118771","29 ","Residential"
"118772","29 ","Residential"
"118773","29 ","Residential"
"118774","29 ","Residential"
"118775","29 ","Residential"
"118776","29 ","Residential"
"118777","29 ","Residential"
"118778","29 ","Residential"
"118779","29 ","Residential"
"118780","29 ","Residential"
"118781","29 ","Residential"
"118782","29 ","Residential"
"118783","29 ","Residential"
"118784","29 ","Residential"
"118785","29 ","Residential"
"118787","29 ","Residential"
"118788","29 ","Residential"
"118789","29 ","Residential"
"118790","29 ","Residential"
"118791","29 ","Residential"
"118792","29 ","Residential"
"118793","29 ","Residential"
"118794","29 ","Residential"
"118795","29 ","Residential"
"118796","29 ","Residential"
"118797","29 ","Residential"
"118798","29 ","Residential"
"118799","29 ","Residential"
"118800","29 ","Residential"
"118801","29 ","Residential"
"118802","29 ","Residential"
"118803","29 ","Residential"
"118804","29 ","Residential"
"118805","29 ","Residential"
"118806","29 ","Residential"
"118807","29 ","Residential"
"118808","29 ","Residential"
"118809","29 ","Residential"
"118810","29 ","Residential"
"118811","29 ","Residential"
"118812","29 ","Residential"
"118813","29 ","Residential"
"118814","29 ","Residential"
"118815","29 ","Residential"
"118817","29 ","Residential"
"118818","29 ","Residential"
"118819","29 ","Residential"
"118820","29 ","Residential"
"118821","29 ","Residential"
"118822","29 ","Residential"
"118823","29 ","Residential"
"118824","29 ","Residential"
"118825","29 ","Residential"
"118826","29 ","Residential"
"118827","29 ","Residential"
"118828","29 ","Residential"
"118829","29 ","Residential"
"118830","29 ","Residential"
"118831","29 ","Residential"
"118832","29 ","Residential"
"118833","29 ","Residential"
"118834","29 ","Residential"
"118835","29 ","Residential"
"118836","29 ","Residential"
"118837","29 ","Residential"
"118838","29 ","Residential"
"118839","29 ","Residential"
"118840","29 ","Residential"
"118841","29 ","Residential"
"118842","29 ","Residential"
"118843","29 ","Residential"
"118844","29 ","Residential"
"118845","29 ","Residential"
"118846","29 ","Residential"
"118848","29 ","Residential"
"118849","29 ","Residential"
"118850","29 ","Residential"
"118851","29 ","Residential"
"118852","29 ","Residential"
"118853","29 ","Residential"
"118854","29 ","Residential"
"118855","29 ","Residential"
"118856","29 ","Residential"
"118857","29 ","Residential"
"118858","29 ","Residential"
"118859","29 ","Residential"
"118860","29 ","Residential"
"118861","29 ","Residential"
"118862","29 ","Residential"
"118863","29 ","Residential"
"118864","29 ","Residential"
"118865","29 ","Residential"
"118866","29 ","Residential"
"118867","29 ","Residential"
"118868","29 ","Residential"
"118869","29 ","Residential"
"118870","29 ","Residential"
"118871","29 ","Residential"
"118872","29 ","Residential"
"118873","29 ","Residential"
"118874","29 ","Residential"
"118880","29 ","Residential"
"118881","29 ","Residential"
"118882","29 ","Residential"
"118883","29 ","Residential"
"118884","29 ","Residential"
"118887","29 ","Residential"
"118888","29 ","Residential"
"118889","29 ","Residential"
"118890","29 ","Residential"
"118891","29 ","Residential"
"118896","29 ","Residential"
"118897","29 ","Residential"
"118898","29 ","Residential"
"118899","29 ","Residential"
"118900","29 ","Residential"
"118901","29 ","Residential"
"118902","29 ","Residential"
"118903","29 ","Residential"
"118904","29 ","Residential"
"118905","29 ","Residential"
"119113","29 ","Residential"
"119114","29 ","Residential"
"119118","29 ","Residential"
"119127","29 ","Residential"
"119128","29 ","Residential"
"119129","29 ","Residential"
"119130","29 ","Residential"
"119135","29 ","Residential"
"119136","29 ","Residential"
"119137","29 ","Residential"
"119138","29 ","Residential"
"119139","29 ","Residential"
"119140","29 ","Residential"
"119141","29 ","Residential"
"119142","29 ","Residential"
"119143","29 ","Residential"
"119144","29 ","Residential"
"119145","29 ","Residential"
"119146","29 ","Residential"
"119147","29 ","Residential"
"119148","29 ","Residential"
"119149","29 ","Residential"
"119150","29 ","Residential"
"119151","29 ","Residential"
"119152","29 ","Residential"
"119153","29 ","Residential"
"119154","29 ","Residential"
"119155","29 ","Residential"
"119156","29 ","Residential"
"119157","29 ","Residential"
"119158","29 ","Residential"
"119159","29 ","Residential"
"119160","29 ","Residential"
"119161","29 ","Residential"
"119162","29 ","Residential"
"119163","29 ","Residential"
"119164","29 ","Residential"
"119165","29 ","Residential"
"119166","29 ","Residential"
"119167","29 ","Residential"
"119168","29 ","Residential"
"119169","29 ","Residential"
"119170","29 ","Residential"
"119171","29 ","Residential"
"119172","29 ","Residential"
"119173","29 ","Residential"
"119174","29 ","Residential"
"119175","29 ","Residential"
"119176","29 ","Residential"
"119177","29 ","Residential"
"119178","29 ","Residential"
"119179","29 ","Residential"
"119180","29 ","Residential"
"119181","29 ","Residential"
"119182","29 ","Residential"
"119183","29 ","Residential"
"119184","29 ","Residential"
"119185","29 ","Residential"
"119186","29 ","Residential"
"119187","29 ","Residential"
"119188","29 ","Residential"
"119189","29 ","Residential"
"119190","29 ","Residential"
"119191","29 ","Residential"
"119192","29 ","Residential"
"119193","29 ","Residential"
"119194","29 ","Residential"
"119195","29 ","Residential"
"119196","29 ","Residential"
"119197","29 ","Residential"
"119198","29 ","Residential"
"119199","29 ","Residential"
"119200","29 ","Residential"
"119201","29 ","Residential"
"119202","29 ","Residential"
"119203","29 ","Residential"
"119204","29 ","Residential"
"119205","29 ","Residential"
"119206","29 ","Residential"
"119207","29 ","Residential"
"119208","29 ","Residential"
"119209","29 ","Residential"
"119210","29 ","Residential"
"119211","29 ","Residential"
"119212","29 ","Residential"
"119213","29 ","Residential"
"119214","29 ","Residential"
"119215","29 ","Residential"
"119216","29 ","Residential"
"119217","29 ","Residential"
"119218","29 ","Residential"
"119219","29 ","Residential"
"119220","29 ","Residential"
"119221","29 ","Residential"
"119222","29 ","Residential"
"119223","29 ","Residential"
"119224","29 ","Residential"
"119225","29 ","Residential"
"119226","29 ","Residential"
"119227","29 ","Residential"
"119228","29 ","Residential"
"119229","29 ","Residential"
"119230","29 ","Residential"
"119231","29 ","Residential"
"119232","29 ","Residential"
"119233","29 ","Residential"
"119234","29 ","Residential"
"119235","29 ","Residential"
"119236","29 ","Residential"
"119237","29 ","Residential"
"119238","29 ","Residential"
"119239","29 ","Residential"
"119240","29 ","Residential"
"119241","29 ","Residential"
"119242","29 ","Residential"
"119243","29 ","Residential"
"119244","29 ","Residential"
"119245","29 ","Residential"
"119246","29 ","Residential"
"119247","29 ","Residential"
"119248","29 ","Residential"
"119249","29 ","Residential"
"119250","29 ","Residential"
"119251","29 ","Residential"
"119252","29 ","Residential"
"119253","29 ","Residential"
"119254","29 ","Residential"
"119255","29 ","Residential"
"119256","29 ","Residential"
"119257","29 ","Residential"
"119258","29 ","Residential"
"119259","29 ","Residential"
"119260","29 ","Residential"
"119261","29 ","Residential"
"119262","29 ","Residential"
"119263","29 ","Residential"
"119264","29 ","Residential"
"119265","29 ","Residential"
"119266","29 ","Residential"
"119267","29 ","Residential"
"119268","29 ","Residential"
"119269","29 ","Residential"
"119270","29 ","Residential"
"119271","29 ","Residential"
"119272","29 ","Residential"
"119273","29 ","Residential"
"119274","29 ","Residential"
"119275","29 ","Residential"
"119276","29 ","Residential"
"119277","29 ","Residential"
"119278","29 ","Residential"
"119279","29 ","Residential"
"119280","29 ","Residential"
"119281","29 ","Residential"
"119282","29 ","Residential"
"119283","29 ","Residential"
"119284","29 ","Residential"
"119285","29 ","Residential"
"119286","29 ","Residential"
"119287","29 ","Residential"
"119288","29 ","Residential"
"119289","29 ","Residential"
"119290","29 ","Residential"
"119291","29 ","Residential"
"119292","29 ","Residential"
"119293","29 ","Residential"
"119294","29 ","Residential"
"119295","29 ","Residential"
"119296","29 ","Residential"
"119297","29 ","Residential"
"119298","29 ","Residential"
"119299","29 ","Residential"
"119300","29 ","Residential"
"119301","29 ","Residential"
"119302","29 ","Residential"
"119303","29 ","Residential"
"119304","29 ","Residential"
"119305","29 ","Residential"
"119306","29 ","Residential"
"119307","29 ","Residential"
"119308","29 ","Residential"
"119309","29 ","Residential"
"119310","29 ","Residential"
"119311","29 ","Residential"
"119312","29 ","Residential"
"119313","29 ","Residential"
"119314","29 ","Residential"
"119315","29 ","Residential"
"119316","29 ","Residential"
"119317","29 ","Residential"
"119318","29 ","Residential"
"119319","29 ","Residential"
"119320","29 ","Residential"
"119321","29 ","Residential"
"119322","29 ","Residential"
"119323","29 ","Residential"
"119324","29 ","Residential"
"119325","29 ","Residential"
"119326","29 ","Residential"
"119327","29 ","Residential"
"119328","29 ","Residential"
"119329","29 ","Residential"
"119330","29 ","Residential"
"119331","29 ","Residential"
"119332","29 ","Residential"
"119333","29 ","Residential"
"119334","29 ","Residential"
"119335","29 ","Residential"
"119336","29 ","Residential"
"119337","29 ","Residential"
"119338","29 ","Residential"
"119339","29 ","Residential"
"119340","29 ","Residential"
"119341","29 ","Residential"
"119342","29 ","Residential"
"119343","29 ","Residential"
"119344","29 ","Residential"
"119346","29 ","Residential"
"119347","29 ","Residential"
"119348","29 ","Residential"
"119349","29 ","Residential"
"119352","29 ","Residential"
"119353","29 ","Residential"
"119354","29 ","Residential"
"119355","29 ","Residential"
"119356","29 ","Residential"
"119357","29 ","Residential"
"119358","29 ","Residential"
"119359","29 ","Residential"
"119360","29 ","Residential"
"119361","29 ","Residential"
"119362","29 ","Residential"
"119363","29 ","Residential"
"119364","29 ","Residential"
"119365","29 ","Residential"
"119366","29 ","Residential"
"119367","29 ","Residential"
"119368","29 ","Residential"
"119369","29 ","Residential"
"119370","29 ","Residential"
"119371","29 ","Residential"
"119372","29 ","Residential"
"119373","29 ","Residential"
"119374","29 ","Residential"
"119375","29 ","Residential"
"119376","29 ","Residential"
"119377","29 ","Residential"
"119378","29 ","Residential"
"119379","29 ","Residential"
"119380","29 ","Residential"
"119381","29 ","Residential"
"119382","29 ","Residential"
"119383","29 ","Residential"
"119384","29 ","Residential"
"119385","29 ","Residential"
"119386","29 ","Residential"
"119387","29 ","Residential"
"119388","29 ","Residential"
"119389","29 ","Residential"
"119390","29 ","Residential"
"119391","29 ","Residential"
"119392","29 ","Residential"
"119393","29 ","Residential"
"119394","29 ","Residential"
"119395","29 ","Residential"
"119396","29 ","Residential"
"119397","29 ","Residential"
"119398","29 ","Residential"
"119399","29 ","Residential"
"119400","29 ","Residential"
"119401","29 ","Residential"
"119402","29 ","Residential"
"119403","29 ","Residential"
"119404","29 ","Residential"
"119405","29 ","Residential"
"119406","29 ","Residential"
"119407","29 ","Residential"
"119408","29 ","Residential"
"119409","29 ","Residential"
"119410","29 ","Residential"
"119411","29 ","Residential"
"119412","29 ","Residential"
"119413","29 ","Residential"
"119414","29 ","Residential"
"119415","29 ","Residential"
"119416","29 ","Residential"
"119417","29 ","Residential"
"119418","29 ","Residential"
"119419","29 ","Residential"
"119420","29 ","Residential"
"119421","29 ","Residential"
"119422","29 ","Residential"
"119423","29 ","Residential"
"119424","29 ","Residential"
"119425","29 ","Residential"
"119473","29 ","Residential"
"119474","29 ","Residential"
"119495","17 ","Education and Training"
"119498","17 ","Education and Training"
"119547","29 ","Residential"
"119560","29 ","Residential"
"119561","29 ","Residential"
"119562","29 ","Residential"
"119563","29 ","Residential"
"119564","29 ","Residential"
"119565","29 ","Residential"
"119566","29 ","Residential"
"119567","29 ","Residential"
"119568","29 ","Residential"
"119569","29 ","Residential"
"119570","29 ","Residential"
"119571","29 ","Residential"
"119572","29 ","Residential"
"119573","29 ","Residential"
"119574","29 ","Residential"
"119575","29 ","Residential"
"119576","29 ","Residential"
"119577","29 ","Residential"
"119578","29 ","Residential"
"119579","29 ","Residential"
"119580","29 ","Residential"
"119581","29 ","Residential"
"119582","29 ","Residential"
"119583","29 ","Residential"
"119584","29 ","Residential"
"119585","29 ","Residential"
"119586","29 ","Residential"
"119587","29 ","Residential"
"119588","29 ","Residential"
"119589","29 ","Residential"
"119590","29 ","Residential"
"119591","29 ","Residential"
"119592","29 ","Residential"
"119593","29 ","Residential"
"119594","29 ","Residential"
"119595","29 ","Residential"
"119596","29 ","Residential"
"119597","29 ","Residential"
"119598","29 ","Residential"
"119599","29 ","Residential"
"119600","29 ","Residential"
"119601","29 ","Residential"
"119602","29 ","Residential"
"119603","29 ","Residential"
"119604","29 ","Residential"
"119605","29 ","Residential"
"119606","29 ","Residential"
"119607","29 ","Residential"
"119608","29 ","Residential"
"119609","29 ","Residential"
"119610","29 ","Residential"
"119611","29 ","Residential"
"119612","29 ","Residential"
"119613","29 ","Residential"
"119614","29 ","Residential"
"119615","29 ","Residential"
"119616","29 ","Residential"
"119617","29 ","Residential"
"119618","29 ","Residential"
"119619","29 ","Residential"
"119620","29 ","Residential"
"119621","29 ","Residential"
"119622","29 ","Residential"
"119623","29 ","Residential"
"119624","29 ","Residential"
"119625","29 ","Residential"
"119626","29 ","Residential"
"119627","29 ","Residential"
"119628","29 ","Residential"
"119629","29 ","Residential"
"119630","29 ","Residential"
"119631","29 ","Residential"
"119632","29 ","Residential"
"119633","29 ","Residential"
"119634","29 ","Residential"
"119635","29 ","Residential"
"119636","29 ","Residential"
"119637","29 ","Residential"
"119638","29 ","Residential"
"119639","29 ","Residential"
"119640","29 ","Residential"
"119641","29 ","Residential"
"119642","29 ","Residential"
"119643","29 ","Residential"
"119644","29 ","Residential"
"119645","29 ","Residential"
"119646","29 ","Residential"
"119647","29 ","Residential"
"119648","29 ","Residential"
"119649","29 ","Residential"
"119650","29 ","Residential"
"119651","29 ","Residential"
"119652","29 ","Residential"
"119653","29 ","Residential"
"119654","29 ","Residential"
"119655","29 ","Residential"
"119656","29 ","Residential"
"119657","29 ","Residential"
"119658","29 ","Residential"
"119659","29 ","Residential"
"119660","29 ","Residential"
"119661","29 ","Residential"
"119662","29 ","Residential"
"119663","29 ","Residential"
"119664","29 ","Residential"
"119665","29 ","Residential"
"119666","29 ","Residential"
"119667","29 ","Residential"
"119668","29 ","Residential"
"119669","29 ","Residential"
"119670","29 ","Residential"
"119671","29 ","Residential"
"119672","29 ","Residential"
"119673","29 ","Residential"
"119674","29 ","Residential"
"119675","29 ","Residential"
"119676","29 ","Residential"
"119677","29 ","Residential"
"119678","29 ","Residential"
"119679","29 ","Residential"
"119680","29 ","Residential"
"119681","29 ","Residential"
"119682","29 ","Residential"
"119683","29 ","Residential"
"119684","29 ","Residential"
"119685","29 ","Residential"
"119686","29 ","Residential"
"119687","29 ","Residential"
"119688","29 ","Residential"
"119689","29 ","Residential"
"119690","29 ","Residential"
"119691","29 ","Residential"
"119692","29 ","Residential"
"119693","29 ","Residential"
"119694","29 ","Residential"
"119695","29 ","Residential"
"119698","29 ","Residential"
"119699","29 ","Residential"
"119700","29 ","Residential"
"119701","29 ","Residential"
"119702","29 ","Residential"
"119703","29 ","Residential"
"119704","29 ","Residential"
"119705","29 ","Residential"
"119706","29 ","Residential"
"119707","29 ","Residential"
"119708","29 ","Residential"
"119709","29 ","Residential"
"119710","29 ","Residential"
"119711","29 ","Residential"
"119712","29 ","Residential"
"119713","29 ","Residential"
"119714","29 ","Residential"
"119715","29 ","Residential"
"119717","29 ","Residential"
"119718","29 ","Residential"
"119719","29 ","Residential"
"119720","29 ","Residential"
"119721","29 ","Residential"
"119722","29 ","Residential"
"119723","29 ","Residential"
"119724","29 ","Residential"
"119725","29 ","Residential"
"119726","29 ","Residential"
"119727","29 ","Residential"
"119728","29 ","Residential"
"119729","29 ","Residential"
"119730","29 ","Residential"
"119731","29 ","Residential"
"119732","29 ","Residential"
"119733","29 ","Residential"
"119734","29 ","Residential"
"119735","29 ","Residential"
"119736","29 ","Residential"
"119737","29 ","Residential"
"119738","29 ","Residential"
"119739","29 ","Residential"
"119740","29 ","Residential"
"119741","29 ","Residential"
"119742","29 ","Residential"
"119743","29 ","Residential"
"119744","29 ","Residential"
"119745","29 ","Residential"
"119746","29 ","Residential"
"119747","29 ","Residential"
"119748","29 ","Residential"
"119749","29 ","Residential"
"119750","29 ","Residential"
"119751","29 ","Residential"
"119752","29 ","Residential"
"119753","29 ","Residential"
"119754","29 ","Residential"
"119755","29 ","Residential"
"119756","29 ","Residential"
"119757","29 ","Residential"
"119758","29 ","Residential"
"119759","29 ","Residential"
"119760","29 ","Residential"
"119761","29 ","Residential"
"119762","29 ","Residential"
"119763","29 ","Residential"
"119764","29 ","Residential"
"119765","29 ","Residential"
"119766","29 ","Residential"
"119767","29 ","Residential"
"119768","29 ","Residential"
"119769","29 ","Residential"
"119770","29 ","Residential"
"119771","29 ","Residential"
"119772","29 ","Residential"
"119773","29 ","Residential"
"119774","29 ","Residential"
"119775","29 ","Residential"
"119776","29 ","Residential"
"119777","29 ","Residential"
"119778","29 ","Residential"
"119779","29 ","Residential"
"119780","29 ","Residential"
"119781","29 ","Residential"
"119782","29 ","Residential"
"119783","29 ","Residential"
"119784","29 ","Residential"
"119785","29 ","Residential"
"119786","29 ","Residential"
"119787","29 ","Residential"
"119788","29 ","Residential"
"119789","29 ","Residential"
"119790","29 ","Residential"
"119791","29 ","Residential"
"119792","29 ","Residential"
"119793","29 ","Residential"
"119794","29 ","Residential"
"119795","29 ","Residential"
"119796","29 ","Residential"
"119797","29 ","Residential"
"119798","29 ","Residential"
"119799","29 ","Residential"
"119800","29 ","Residential"
"119801","29 ","Residential"
"119802","29 ","Residential"
"119803","29 ","Residential"
"119804","29 ","Residential"
"119805","29 ","Residential"
"119806","29 ","Residential"
"119807","29 ","Residential"
"119808","29 ","Residential"
"119809","29 ","Residential"
"119810","29 ","Residential"
"119811","29 ","Residential"
"119812","29 ","Residential"
"119813","29 ","Residential"
"119814","29 ","Residential"
"119815","29 ","Residential"
"119816","29 ","Residential"
"119817","29 ","Residential"
"119818","29 ","Residential"
"119819","29 ","Residential"
"119820","29 ","Residential"
"119821","29 ","Residential"
"119822","29 ","Residential"
"119823","29 ","Residential"
"119824","29 ","Residential"
"119825","29 ","Residential"
"119826","29 ","Residential"
"119827","29 ","Residential"
"119828","29 ","Residential"
"119829","29 ","Residential"
"119830","29 ","Residential"
"119831","29 ","Residential"
"119832","29 ","Residential"
"119833","29 ","Residential"
"119834","29 ","Residential"
"119835","29 ","Residential"
"119836","29 ","Residential"
"119837","29 ","Residential"
"119838","29 ","Residential"
"119839","29 ","Residential"
"119840","29 ","Residential"
"119841","29 ","Residential"
"119842","29 ","Residential"
"119843","29 ","Residential"
"119844","29 ","Residential"
"119845","29 ","Residential"
"119846","29 ","Residential"
"119847","29 ","Residential"
"119848","29 ","Residential"
"119849","29 ","Residential"
"119850","29 ","Residential"
"119851","29 ","Residential"
"119852","29 ","Residential"
"119853","29 ","Residential"
"119854","29 ","Residential"
"119855","29 ","Residential"
"119856","29 ","Residential"
"119857","29 ","Residential"
"119858","29 ","Residential"
"119859","29 ","Residential"
"119860","29 ","Residential"
"119861","29 ","Residential"
"119862","29 ","Residential"
"119863","29 ","Residential"
"119864","29 ","Residential"
"119865","29 ","Residential"
"119866","29 ","Residential"
"119867","29 ","Residential"
"119868","29 ","Residential"
"119869","29 ","Residential"
"119870","29 ","Residential"
"119871","29 ","Residential"
"119872","29 ","Residential"
"119873","29 ","Residential"
"119874","29 ","Residential"
"119875","29 ","Residential"
"119876","29 ","Residential"
"119877","29 ","Residential"
"119878","29 ","Residential"
"119879","29 ","Residential"
"119880","29 ","Residential"
"119881","29 ","Residential"
"119882","29 ","Residential"
"119883","29 ","Residential"
"119884","29 ","Residential"
"119885","29 ","Residential"
"119886","29 ","Residential"
"119887","29 ","Residential"
"119888","29 ","Residential"
"119889","29 ","Residential"
"119890","29 ","Residential"
"119891","29 ","Residential"
"119892","29 ","Residential"
"119893","29 ","Residential"
"119894","29 ","Residential"
"119895","29 ","Residential"
"119896","29 ","Residential"
"119897","29 ","Residential"
"119898","29 ","Residential"
"119899","29 ","Residential"
"119900","29 ","Residential"
"119901","29 ","Residential"
"119902","29 ","Residential"
"119903","29 ","Residential"
"119904","29 ","Residential"
"119905","29 ","Residential"
"119906","29 ","Residential"
"119907","29 ","Residential"
"119908","29 ","Residential"
"119909","29 ","Residential"
"119910","29 ","Residential"
"119911","29 ","Residential"
"119912","29 ","Residential"
"119913","29 ","Residential"
"119914","29 ","Residential"
"119915","29 ","Residential"
"119916","29 ","Residential"
"119917","29 ","Residential"
"119918","29 ","Residential"
"119919","29 ","Residential"
"119920","29 ","Residential"
"119921","29 ","Residential"
"119922","45 ","Office"
"119923","29 ","Residential"
"119924","29 ","Residential"
"119925","29 ","Residential"
"119926","29 ","Residential"
"119927","29 ","Residential"
"119928","29 ","Residential"
"119929","29 ","Residential"
"119930","29 ","Residential"
"119931","29 ","Residential"
"119932","29 ","Residential"
"119933","29 ","Residential"
"119934","29 ","Residential"
"119935","29 ","Residential"
"119936","29 ","Residential"
"119937","29 ","Residential"
"119938","29 ","Residential"
"119939","29 ","Residential"
"119940","29 ","Residential"
"119941","29 ","Residential"
"119942","29 ","Residential"
"119943","29 ","Residential"
"119944","29 ","Residential"
"119945","29 ","Residential"
"119946","29 ","Residential"
"119947","29 ","Residential"
"119948","29 ","Residential"
"119949","29 ","Residential"
"119950","29 ","Residential"
"119951","29 ","Residential"
"119952","29 ","Residential"
"119953","29 ","Residential"
"119954","29 ","Residential"
"119955","29 ","Residential"
"119956","29 ","Residential"
"119957","29 ","Residential"
"119958","29 ","Residential"
"119959","29 ","Residential"
"119960","29 ","Residential"
"119961","29 ","Residential"
"119962","29 ","Residential"
"119963","29 ","Residential"
"119964","29 ","Residential"
"119965","29 ","Residential"
"119966","29 ","Residential"
"119967","29 ","Residential"
"119968","29 ","Residential"
"119969","29 ","Residential"
"119970","29 ","Residential"
"119971","29 ","Residential"
"119972","29 ","Residential"
"119973","29 ","Residential"
"119974","29 ","Residential"
"119975","29 ","Residential"
"119976","29 ","Residential"
"119977","29 ","Residential"
"119978","29 ","Residential"
"119979","29 ","Residential"
"119980","29 ","Residential"
"119981","29 ","Residential"
"119982","29 ","Residential"
"119983","29 ","Residential"
"119984","29 ","Residential"
"119985","29 ","Residential"
"119986","29 ","Residential"
"119987","29 ","Residential"
"119988","29 ","Residential"
"119989","29 ","Residential"
"119990","29 ","Residential"
"119991","29 ","Residential"
"119992","29 ","Residential"
"119993","29 ","Residential"
"119994","29 ","Residential"
"119995","29 ","Residential"
"119996","29 ","Residential"
"119997","29 ","Residential"
"119998","29 ","Residential"
"119999","29 ","Residential"
"120000","29 ","Residential"
"120001","29 ","Residential"
"120002","29 ","Residential"
"120003","29 ","Residential"
"120004","29 ","Residential"
"120005","29 ","Residential"
"120006","29 ","Residential"
"120007","29 ","Residential"
"120008","29 ","Residential"
"120009","29 ","Residential"
"120010","29 ","Residential"
"120011","29 ","Residential"
"120012","29 ","Residential"
"120013","29 ","Residential"
"120014","29 ","Residential"
"120015","29 ","Residential"
"120016","29 ","Residential"
"120017","29 ","Residential"
"120018","29 ","Residential"
"120019","29 ","Residential"
"120020","29 ","Residential"
"120021","29 ","Residential"
"120022","29 ","Residential"
"120023","29 ","Residential"
"120024","29 ","Residential"
"120025","29 ","Residential"
"120026","29 ","Residential"
"120027","29 ","Residential"
"120028","29 ","Residential"
"120029","29 ","Residential"
"120030","29 ","Residential"
"120031","29 ","Residential"
"120032","29 ","Residential"
"120033","29 ","Residential"
"120034","29 ","Residential"
"120035","29 ","Residential"
"120036","29 ","Residential"
"120037","29 ","Residential"
"120038","29 ","Residential"
"120039","29 ","Residential"
"120040","29 ","Residential"
"120041","29 ","Residential"
"120042","29 ","Residential"
"120043","29 ","Residential"
"120044","29 ","Residential"
"120045","29 ","Residential"
"120046","29 ","Residential"
"120047","29 ","Residential"
"120048","29 ","Residential"
"120049","29 ","Residential"
"120050","29 ","Residential"
"120051","29 ","Residential"
"120052","29 ","Residential"
"120053","29 ","Residential"
"120054","29 ","Residential"
"120055","29 ","Residential"
"120056","29 ","Residential"
"120057","29 ","Residential"
"120058","29 ","Residential"
"120059","29 ","Residential"
"120060","29 ","Residential"
"120061","29 ","Residential"
"120062","29 ","Residential"
"120063","29 ","Residential"
"120064","29 ","Residential"
"120065","29 ","Residential"
"120066","29 ","Residential"
"120067","29 ","Residential"
"120068","29 ","Residential"
"120069","29 ","Residential"
"120070","29 ","Residential"
"120071","29 ","Residential"
"120072","29 ","Residential"
"120073","29 ","Residential"
"120074","29 ","Residential"
"120075","29 ","Residential"
"120076","29 ","Residential"
"120077","29 ","Residential"
"120078","29 ","Residential"
"120079","29 ","Residential"
"120080","29 ","Residential"
"120081","29 ","Residential"
"120082","29 ","Residential"
"120083","29 ","Residential"
"120084","29 ","Residential"
"120085","29 ","Residential"
"120086","29 ","Residential"
"120087","29 ","Residential"
"120088","29 ","Residential"
"120089","29 ","Residential"
"120090","29 ","Residential"
"120091","29 ","Residential"
"120092","29 ","Residential"
"120093","29 ","Residential"
"120094","29 ","Residential"
"120095","29 ","Residential"
"120096","29 ","Residential"
"120097","29 ","Residential"
"120098","29 ","Residential"
"120099","29 ","Residential"
"120100","29 ","Residential"
"120101","29 ","Residential"
"120102","29 ","Residential"
"120103","29 ","Residential"
"120104","29 ","Residential"
"120105","29 ","Residential"
"120106","29 ","Residential"
"120107","29 ","Residential"
"120108","29 ","Residential"
"120109","29 ","Residential"
"120110","29 ","Residential"
"120111","29 ","Residential"
"120112","29 ","Residential"
"120113","29 ","Residential"
"120114","29 ","Residential"
"120115","29 ","Residential"
"120116","29 ","Residential"
"120117","29 ","Residential"
"120118","29 ","Residential"
"120119","29 ","Residential"
"120120","29 ","Residential"
"120121","29 ","Residential"
"120122","29 ","Residential"
"120123","29 ","Residential"
"120124","29 ","Residential"
"120125","29 ","Residential"
"120126","29 ","Residential"
"120127","29 ","Residential"
"120128","29 ","Residential"
"120129","29 ","Residential"
"120130","29 ","Residential"
"120131","29 ","Residential"
"120132","29 ","Residential"
"120133","29 ","Residential"
"120134","29 ","Residential"
"120135","29 ","Residential"
"120136","29 ","Residential"
"120137","29 ","Residential"
"120138","29 ","Residential"
"120139","29 ","Residential"
"120140","29 ","Residential"
"120141","29 ","Residential"
"120142","29 ","Residential"
"120143","29 ","Residential"
"120144","29 ","Residential"
"120145","29 ","Residential"
"120146","29 ","Residential"
"120147","29 ","Residential"
"120148","29 ","Residential"
"120149","29 ","Residential"
"120150","29 ","Residential"
"120151","29 ","Residential"
"120152","29 ","Residential"
"120153","29 ","Residential"
"120154","29 ","Residential"
"120155","29 ","Residential"
"120156","29 ","Residential"
"120157","29 ","Residential"
"120158","29 ","Residential"
"120159","29 ","Residential"
"120160","29 ","Residential"
"120161","29 ","Residential"
"120162","29 ","Residential"
"120163","29 ","Residential"
"120164","29 ","Residential"
"120165","29 ","Residential"
"120166","29 ","Residential"
"120167","29 ","Residential"
"120168","29 ","Residential"
"120169","29 ","Residential"
"120170","29 ","Residential"
"120171","29 ","Residential"
"120172","29 ","Residential"
"120173","29 ","Residential"
"120174","29 ","Residential"
"120175","29 ","Residential"
"120176","29 ","Residential"
"120177","29 ","Residential"
"120178","29 ","Residential"
"120179","29 ","Residential"
"120180","29 ","Residential"
"120181","29 ","Residential"
"120182","29 ","Residential"
"120183","29 ","Residential"
"120184","29 ","Residential"
"120185","29 ","Residential"
"120186","29 ","Residential"
"120187","29 ","Residential"
"120188","29 ","Residential"
"120189","29 ","Residential"
