Directory of Federal Real Property
Real Property and Materiel Policy Division
Treasury Board of Canada Secretariat
Government of Canada

Security Level: Not Protected
Date: January 3rd, 2023
Sort order:
Character set: ISO 8859 Latin 1
Field Delimiter: Comma
Text Qualifier: Double quote
Field Names: Included in line 16
Data: Begins on line 17
Help: DFRP-ADMIN-RBIF@tbs-sct.gc.ca

"Structure Number (TEXT data)","Property Number (TEXT data)","Structure Name","Custodian Code (TEXT data)","Custodian Name","Interest Type Code (TEXT data)","Interest Type","Street Address","Floor Area","Construction Year","Condition Type Code (TEXT data)","Condition","Fully Occupied Building","SGC Code (TEXT data)","Municipality","Province or Territory Code (TEXT data)","Province or Territory","Federal Electoral District Code (TEXT data)","Federal Electoral District","Country Code (TEXT data)","Country","City Code (TEXT data)","City","Latitude","Longitude","Security Code (TEXT data)","Security Designation","Census Classification","Record Created On","Record Last Modified On"
"021495","21495","250 York Street","140","Public Services and Procurement Canada","24","Lease or Licence","250 York Street, London Ontario, N6A 6K2","660.00","","","","No","3539036","London","35","Ontario","052","London North Centre","CA","Canada","","","42.983025","-81.245102","0","Not Protected","Urban","2019-12-12 5:00:00 AM","2022-06-01 12:00:00 PM"
"021497","21497","1263 Broadway West","140","Public Services and Procurement Canada","24","Lease or Licence","1263 Broadway West","970.00","","","","No","5915022","Vancouver","59","British Columbia","036","Vancouver Granville","CA","Canada","","","49.263712","-123.133193","0","Not Protected","Urban","2012-10-15 1:23:40 PM","2022-05-28 5:00:00 AM"
"021499","21499","Milne Building","140","Public Services and Procurement Canada","24","Lease or Licence","754 Fort Street","1239.00","","","","No","5917034","Victoria","59","British Columbia","041","Victoria","CA","Canada","","","48.424619","-123.363827","0","Not Protected","Urban","2012-10-16 11:45:12 AM","2022-08-11 5:00:00 AM"
"021500","21500","33991 Gladys Avenue","140","Public Services and Procurement Canada","24","Lease or Licence","33991 Gladys Avenue","5459.00","","","","No","5909052","Abbotsford","59","British Columbia","001","Abbotsford","CA","Canada","","","49.045054","-122.281960","0","Not Protected","Rural","2012-10-16 11:45:12 AM","2019-05-17 12:00:00 PM"
"021501","21501","Fisheries Service Centre - Alberton","140","Public Services and Procurement Canada","24","Lease or Licence","7 Lupin Lane","598.00","","","","Yes","1103050","Northport","11","Prince Edward Island","003","Egmont","CA","Canada","","","46.794428","-64.064536","0","Not Protected","Rural","2012-10-17 11:13:25 AM","2021-03-31 7:30:42 PM"
"021502","21502","139 Douglastown Boulevard","140","Public Services and Procurement Canada","24","Lease or Licence","139 Douglastown Boulevard","2690.00","","","","Yes","1309050","Miramichi","13","New Brunswick","006","Miramichi--Grand Lake","CA","Canada","","","47.039465","-65.493274","0","Not Protected","Rural","2012-10-22 1:18:40 PM","2019-12-12 1:38:30 PM"
"021503","21503","Appleview Square","140","Public Services and Procurement Canada","24","Lease or Licence","Unit E108 - 676 Appleby Line, Burlington, Ontario, L7L 5Y1","412.00","","","","No","3524002","Burlington","35","Ontario","015","Burlington","CA","Canada","","","43.371405","-79.762129","0","Not Protected","Urban","2012-10-23 2:59:49 PM","2022-09-06 12:00:00 PM"
"021504","21504","457 Wolverine St","140","Public Services and Procurement Canada","24","Lease or Licence","457 Wolverine Street","135.00","","","","No","2499814","Chisasibi","24","Quebec","001","Abitibi--Baie-James--Nunavik--Eeyou","CA","Canada","","","53.782620","-78.893230","0","Not Protected","Rural","2014-03-18 12:30:00 PM","2020-03-05 12:00:00 PM"
"021555","21555","South Hill Mall","140","Public Services and Procurement Canada","24","Lease or Licence","2995  2nd Avenue W; Lot 46, Block 42, Plan 71PA14807","560.00","","","","No","4715066","Prince Albert","47","Saskatchewan","006","Prince Albert","CA","Canada","","","53.185606","-105.762711","0","Not Protected","Urban","2012-11-07 11:53:42 AM","2019-04-18 5:00:00 AM"
"021557","21557","10345 104 St NW","140","Public Services and Procurement Canada","24","Lease or Licence","10345 104 Street NW","1304.00","","","","No","4811061","Edmonton","48","Alberta","014","Edmonton Centre","CA","Canada","","","53.545631","-113.498903","0","Not Protected","Urban","2012-11-07 11:53:42 AM","2019-05-17 12:00:00 PM"
"021559","21559","Inuksugait Plaza, Phase IV","140","Public Services and Procurement Canada","24","Lease or Licence","1106 Ikaluktuutiak Drive","1560.00","","","","No","6204003","Iqaluit","62","Nunavut","001","Nunavut","CA","Canada","","","63.751286","-68.526364","0","Not Protected","Rural","2012-11-29 2:40:53 PM","2021-12-07 5:00:00 AM"
"021570","21570","3292 Production Way","140","Public Services and Procurement Canada","24","Lease or Licence","3292 Production Way","583.00","","","","No","5915025","Burnaby","59","British Columbia","002","Burnaby North--Seymour","CA","Canada","","","49.253771","-122.918200","0","Not Protected","Urban","2012-11-21 1:01:22 PM","2017-03-11 5:00:00 AM"
"021595","21595","14 Cedar Point Drive","140","Public Services and Procurement Canada","24","Lease or Licence","Unit 1509 - 14 Cedar Point Drive, Barrie, Ontario, L4N 5R7","618.00","","","","No","3543042","Barrie","35","Ontario","005","Barrie--Springwater--Oro-Medonte","CA","Canada","","","44.380098","-79.714477","0","Not Protected","Urban","2012-12-04 4:21:26 PM","2019-12-11 12:00:00 PM"
"021598","21598","2291 Kipling Avenue","140","Public Services and Procurement Canada","24","Lease or Licence","2291 Kipling Avenue, Toronto, Ontario, M9W 4L6","762.00","","","","No","3520005","Toronto","35","Ontario","029","Etobicoke North","CA","Canada","","","43.728733","-79.573678","0","Not Protected","Urban","2012-12-04 4:29:08 PM","2019-05-17 12:00:00 PM"
"021656","21656","Ottawa Head Office East Tower","400","Canada Post","10","Crown Owned","2701 Riverside Drive Ottawa ON K1A0B1","1.00","1993","1","Good","Yes","3506008","Ottawa","35","Ontario","077","Ottawa South","CA","Canada","","","45.376609","-75.689445","0","Not Protected","Rural","2013-01-04 1:55:43 PM","2020-03-27 12:00:00 PM"
"021694","21694","1660 Royale St.","140","Public Services and Procurement Canada","24","Lease or Licence","1660 Royale Street","1149.00","","","","Yes","2437067","Trois-Rivières","24","Quebec","076","Trois-Rivières","CA","Canada","","","46.340483","-72.545588","0","Not Protected","Rural","2013-02-05 11:06:49 AM","2019-04-18 5:00:00 AM"
"021700","21700","Saint-Georges Place","140","Public Services and Procurement Canada","24","Lease or Licence","184 Des Boul. Bois-Francs North","327.00","","","","Yes","2439062","Victoriaville","24","Quebec","061","Richmond--Arthabaska","CA","Canada","","","46.061479","-71.956750","0","Not Protected","Urban","2013-02-06 11:29:42 AM","2019-05-17 12:00:00 PM"
"021718","21718","310 Water Street","140","Public Services and Procurement Canada","24","Lease or Licence","310 Water Street, Peterborough, ON, K9J 3C7","599.00","","","","No","3515014","Peterborough","35","Ontario","084","Peterborough--Kawartha","CA","Canada","","","44.303370","-78.318083","0","Not Protected","Urban","2013-02-15 2:38:02 PM","2019-05-17 12:00:00 PM"
"021721","21721","6500 Transcanada","140","Public Services and Procurement Canada","24","Lease or Licence","6500 TransCanada Hwy","692.00","","","","No","2466097","Pointe-Claire","24","Quebec","036","Lac-Saint-Louis","CA","Canada","","","45.463769","-73.823344","0","Not Protected","Urban","2013-03-20 1:29:20 PM","2019-05-17 12:00:00 PM"
"021723","21723","Pinewoods Centre","530","Farm Credit Canada","24","Lease or Licence","247 Whitewood Avenue unit 49","57.00","","","","Yes","3554020","Temiskaming Shores","35","Ontario","070","Nipissing--Timiskaming","CA","Canada","","","47.509454","-79.681611","0","Not Protected","Rural","2013-02-18 4:46:33 PM","2022-11-07 12:00:00 PM"
"021729","21729","Buffalo Narrows Buildng","140","Public Services and Procurement Canada","24","Lease or Licence","Unit 5 - 1491 Pedersen Avenue; Block W Plan 102009204","101.00","","","","No","4718070","Buffalo Narrows","47","Saskatchewan","003","Desnethé--Missinippi--Churchill River","CA","Canada","","","55.864508","-108.481906","0","Not Protected","Rural","2013-02-27 1:27:16 PM","2017-04-28 5:00:01 AM"
"021821","21821","395 Terminal Avenue","140","Public Services and Procurement Canada","24","Lease or Licence","395 Terminal Avenue","22730.00","","","","Yes","3506008","Ottawa","35","Ontario","077","Ottawa South","CA","Canada","","","45.414724","-75.654356","0","Not Protected","Rural","2013-04-23 1:33:24 PM","2022-09-15 12:00:00 PM"
"021827","21827","Le 2250 Saint-Olivier Street","140","Public Services and Procurement Canada","24","Lease or Licence","2250 Saint-Olivier Street","2365.00","","","","No","2437067","Trois-Rivières","24","Quebec","076","Trois-Rivières","CA","Canada","","","46.335710","-72.550565","0","Not Protected","Rural","2013-03-27 4:07:46 PM","2020-01-17 5:00:00 AM"
"021836","21836","Sakku Office Building","140","Public Services and Procurement Canada","24","Lease or Licence","Unit 1 - 164 Mivvik Avenue","352.00","","","","No","6205017","Rankin Inlet","62","Nunavut","001","Nunavut","CA","Canada","","","62.810203","-92.096404","0","Not Protected","Rural","2013-04-23 1:33:24 PM","2020-03-06 5:00:00 AM"
"021849","21849","FCC Wadena","530","Farm Credit Canada","24","Lease or Licence","241 Main Street North","31.00","","","","Yes","4710068","Wadena","47","Saskatchewan","014","Yorkton--Melville","CA","Canada","","","51.948228","-103.801947","0","Not Protected","Urban","2013-04-18 4:16:02 PM","2020-11-25 12:00:00 PM"
"021876","21876","Water Survey Building","140","Public Services and Procurement Canada","24","Lease or Licence","122 Navy Road, Inuvik, Northwest Territories, X0E 0T0","208.00","","","","Yes","6101017","Inuvik","61","Northwest Territories","001","Northwest Territories","CA","Canada","","","68.374775","-133.751100","0","Not Protected","Rural","2008-10-15 2:42:04 PM","2020-03-06 5:00:00 AM"
"021880","21880","Place Centre Ville","140","Public Services and Procurement Canada","24","Lease or Licence","11400  1ère Avenue E, Saint-Georges, Quebec, G5Y 5S4","653.00","","","","No","2429073","Saint-Georges","24","Quebec","007","Beauce","CA","Canada","","","46.121700","-70.676600","0","Not Protected","Rural","2008-10-15 2:42:04 PM","2020-01-17 5:00:00 AM"
"021884","21884","4475 North Service Road","140","Public Services and Procurement Canada","24","Lease or Licence","4475 North Service Road, Burlington, ON, L7L 4X7","461.00","","","","No","3524002","Burlington","35","Ontario","073","Oakville North--Burlington","CA","Canada","","","43.381228","-79.774673","0","Not Protected","Urban","2013-06-24 3:37:38 PM","2019-05-17 12:00:00 PM"
"021889","21889","Morgan Building","140","Public Services and Procurement Canada","24","Lease or Licence","55 Thompson Street, Clarenville, NL A5A 1Y9","400.00","","","","Yes","1007013","Clarenville","10","Newfoundland and Labrador","002","Bonavista--Burin--Trinity","CA","Canada","","","48.170155","-53.981753","0","Not Protected","Rural","2013-05-17 1:27:55 PM","2019-12-12 1:38:30 PM"
"021912","21912","Place de Ville A","140","Public Services and Procurement Canada","24","Lease or Licence","320 Queen Street","24730.00","","","","No","3506008","Ottawa","35","Ontario","075","Ottawa Centre","CA","Canada","","","45.419100","-75.703400","0","Not Protected","Rural","2008-10-15 2:42:04 PM","2020-12-17 5:00:01 AM"
"021918","21918","Billings Bridge Office Tower","140","Public Services and Procurement Canada","24","Lease or Licence","2323 Riverside Drive","9008.00","","","","No","3506008","Ottawa","35","Ontario","077","Ottawa South","CA","Canada","","","45.385959","-75.679521","0","Not Protected","Rural","2008-10-15 2:42:04 PM","2020-09-09 5:00:01 AM"
"021929","21929","319 Principale Street","140","Public Services and Procurement Canada","24","Lease or Licence","319 Principale Street","311.00","","","","Yes","2487090","La Sarre","24","Quebec","002","Abitibi--Témiscamingue","CA","Canada","","","48.802688","-79.204974","0","Not Protected","Rural","2013-06-13 9:36:06 AM","2019-11-28 9:11:28 AM"
"021979","73878","Guy-Favreau Complex (East Tower)","140","Public Services and Procurement Canada","23","Lease Purchase","200  René-Lévesque Boulevard West, Montréal, Quebec, H2Z 1X4","32196.00","1984","1","Good","Yes","2466023","Montréal","24","Quebec","039","Laurier--Sainte-Marie","CA","Canada","","","45.507039","-73.562196","0","Not Protected","Urban","2008-10-15 2:42:04 PM","2022-05-28 5:00:00 AM"
"021980","21980","550 Beaumont Avenue","140","Public Services and Procurement Canada","24","Lease or Licence","550 Beaumont  Avenue","783.00","","","","Yes","2466023","Montréal","24","Quebec","055","Papineau","CA","Canada","","","45.527138","-73.619450","0","Not Protected","Urban","2013-06-13 11:22:49 PM","2019-05-17 12:00:00 PM"
"022039","22039","Daniel J MacDonald Building","140","Public Services and Procurement Canada","10","Crown Owned","161  Grafton Street, Charlottetown, Prince Edward Island, C1A 1L1","13690.00","1984","3","Poor","Yes","1102075","Charlottetown","11","Prince Edward Island","002","Charlottetown","CA","Canada","","","46.236194","-63.126521","0","Not Protected","Urban","2008-10-15 2:42:04 PM","2022-11-24 5:00:00 AM"
"022111","22111","2379 Holly Lane","140","Public Services and Procurement Canada","24","Lease or Licence","2379 Holly Lane","1910.00","","","","Yes","3506008","Ottawa","35","Ontario","064","Nepean","CA","Canada","","","45.379752","-75.639253","0","Not Protected","Rural","2013-12-17 12:30:00 PM","2017-12-20 5:00:00 AM"
"022170","22170","Royal Trust Building","140","Public Services and Procurement Canada","24","Lease or Licence","777  Main Street, Moncton, New Brunswick, E1C 1E9","1913.00","","","","No","1307022","Moncton","13","New Brunswick","007","Moncton--Riverview--Dieppe","CA","Canada","","","46.088500","-64.778200","0","Not Protected","Urban","2008-10-15 2:42:04 PM","2021-12-04 5:00:00 AM"
"022187","22187","8403 Coronet Rd","140","Public Services and Procurement Canada","24","Lease or Licence","8403 Coronet Road","1208.00","","","","No","4811061","Edmonton","48","Alberta","018","Edmonton Riverbend","CA","Canada","","","53.501306","-113.453364","0","Not Protected","Urban","2013-10-01 5:00:00 AM","2020-01-08 12:00:00 PM"
"022200","22200","32 Amisk Street","140","Public Services and Procurement Canada","24","Lease or Licence","32 Amisk Street","49.00","","","","No","2499804","Mistissini","24","Quebec","001","Abitibi--Baie-James--Nunavik--Eeyou","CA","Canada","","","50.414600","-73.872600","0","Not Protected","Rural","2013-09-06 5:00:00 AM","2020-12-17 5:00:01 AM"
"022211","22211","Professional Building","140","Public Services and Procurement Canada","24","Lease or Licence","667 Notre-Dame Street","753.00","","","","No","2460013","Repentigny","24","Quebec","060","Repentigny","CA","Canada","","","45.753424","-73.431237","0","Not Protected","Urban","2013-09-06 5:00:00 AM","2020-01-17 5:00:00 AM"
"022217","22217","Hill Centre - Tower III","140","Public Services and Procurement Canada","24","Lease or Licence","1870 Hamilton Street","7570.00","","","","No","4706027","Regina","47","Saskatchewan","009","Regina--Wascana","CA","Canada","","","50.449014","-104.609647","0","Not Protected","Urban","2013-09-21 5:00:01 AM","2022-09-17 5:00:00 AM"
"022258","22258","6900 Airport Road","140","Public Services and Procurement Canada","24","Lease or Licence","6900  Airport Road, Mississauga, Ontario, L4V 1E8","8506.00","","","","No","3521005","Mississauga","35","Ontario","062","Mississauga--Malton","CA","Canada","","","43.703367","-79.637478","0","Not Protected","Urban","2008-10-15 2:42:04 PM","2022-03-02 5:00:00 AM"
"022266","22266","Sun Life Building","140","Public Services and Procurement Canada","24","Lease or Licence","1155 Metcalfe Street","4565.00","","","","No","2466023","Montréal","24","Quebec","077","Ville-Marie--Le Sud-Ouest--Île-des-Soeurs","CA","Canada","","","45.500194","-73.570176","0","Not Protected","Urban","2013-09-12 5:00:00 AM","2020-01-17 5:00:00 AM"
"022294","22294","1125 Lebourgneuf Blvd","140","Public Services and Procurement Canada","24","Lease or Licence","1125 Lebourgneuf Blvd","949.00","","","","No","2423027","Québec","24","Quebec","045","Louis-Saint-Laurent","CA","Canada","","","46.836306","-71.289328","0","Not Protected","Urban","2013-09-21 5:00:01 AM","2020-01-17 5:00:00 AM"
"022346","22346","Beaverbrook Court","140","Public Services and Procurement Canada","24","Lease or Licence","500  Beaverbrook Court, Fredericton, New Brunswick, E3B 5X4","324.00","","","","No","1310032","Fredericton","13","New Brunswick","003","Fredericton","CA","Canada","","","45.954666","-66.648234","0","Not Protected","Urban","2008-10-15 2:42:04 PM","2020-01-17 5:00:00 AM"
"022381","22381","Royal Vista Professional Centre","140","Public Services and Procurement Canada","24","Lease or Licence","25 Royal Vista Place NW","552.00","","","","Yes","4806016","Calgary","48","Alberta","010","Calgary Rocky Ridge","CA","Canada","","","51.150922","-114.210136","0","Not Protected","Urban","2013-11-29 5:00:00 AM","2019-12-12 1:38:30 PM"
"022393","22393","NRC-IRAP St. Thomas","130","National Research Council Canada","24","Lease or Licence","Suite # 118 - 300 South Edgeware Road, St. Thomas, ON  N5P 4L1","22.00","","1","Good","No","3534021","St. Thomas","35","Ontario","025","Elgin--Middlesex--London","CA","Canada","","","42.793972","-81.166917","0","Not Protected","Urban","2013-12-10 5:00:00 AM","2021-06-17 12:00:00 PM"
"022398","22398","NRC-IRAP Ottawa","130","National Research Council Canada","10","Crown Owned","Building 94, 3701 Carling Avenue, Ottawa, ON K2H 8S2","139.00","1999","1","Good","Yes","3506008","Ottawa","35","Ontario","079","Ottawa West--Nepean","CA","Canada","","","45.345700","-75.884047","0","Not Protected","Rural","2013-12-10 5:00:00 AM","2022-10-27 12:00:00 PM"
"022401","22401","NRC-IRAP Winnipeg","130","National Research Council Canada","24","Lease or Licence","441-100 Innovation Drive, Office 5, Winnipeg, MB  R3T 6G2","13.00","","1","Good","No","4611040","Winnipeg","46","Manitoba","013","Winnipeg South","CA","Canada","","","49.803278","-97.147161","0","Not Protected","Urban","2013-12-10 5:00:00 AM","2021-06-22 5:00:00 AM"
"022403","22403","GC Building - Tax Centre","140","Public Services and Procurement Canada","10","Crown Owned","290  Empire Avenue, St.John's, Newfoundland and Labrador, A1C 6L9","12484.00","1980","3","Poor","Yes","1001519","St. John's","10","Newfoundland and Labrador","007","St. John's South--Mount Pearl","CA","Canada","","","47.562109","-52.732454","0","Not Protected","Rural","2008-10-15 2:42:04 PM","2022-12-16 12:00:00 PM"
"022404","22404","GC Pension Centre Building","140","Public Services and Procurement Canada","10","Crown Owned","10  Weldon Street, Shediac, New Brunswick, E4P 2X7","6564.00","1982","1","Good","Yes","1307052","Shediac","13","New Brunswick","002","Beauséjour","CA","Canada","","","46.219996","-64.540551","0","Not Protected","Rural","2008-10-15 2:42:04 PM","2021-12-04 5:00:00 AM"
"022408","22408","NRC-IRAP Halifax","130","National Research Council Canada","24","Lease or Licence","1801 Hollis Street, Halifax, NS  B3J 3C8","74.00","","1","Good","No","1209034","Halifax","12","Nova Scotia","004","Dartmouth--Cole Harbour","CA","Canada","","","44.649203","-63.573553","0","Not Protected","Rural","2013-12-10 5:00:00 AM","2017-10-24 12:00:01 PM"
"022414","22414","NRC-IRAP Oakville","130","National Research Council Canada","24","Lease or Licence","505-710 Dorval Drive, Oakville, ON  L6K 3V7","441.00","","1","Good","No","3524001","Oakville","35","Ontario","072","Oakville","CA","Canada","","","43.444433","-79.697120","0","Not Protected","Urban","2013-12-10 5:00:00 AM","2017-10-24 12:00:01 PM"
"022447","22447","301 Bishop Drive","140","Public Services and Procurement Canada","24","Lease or Licence","301 Bishop Drive","1511.00","","","","No","1310032","Fredericton","13","New Brunswick","003","Fredericton","CA","Canada","","","45.945833","-66.683056","0","Not Protected","Urban","2014-02-08 5:00:01 AM","2019-12-12 1:38:30 PM"
"022457","22457","Dorval Square","140","Public Services and Procurement Canada","24","Lease or Licence","185  Dorval Avenue, Dorval, Quebec, H9S 5J9","386.00","","","","No","2466087","Dorval","24","Quebec","024","Dorval--Lachine--LaSalle","CA","Canada","","","45.440975","-73.739590","0","Not Protected","Urban","2008-10-15 2:42:04 PM","2020-01-17 5:00:00 AM"
"022492","22492","Eastgate Offices","140","Public Services and Procurement Canada","24","Lease or Licence","9250 49 Street NW; Lot 17A, Block 1 Plan 122 3427","6581.00","","","","No","4811061","Edmonton","48","Alberta","019","Edmonton Strathcona","CA","Canada","","","53.528894","-113.415773","0","Not Protected","Urban","2014-03-19 12:30:00 PM","2019-12-12 1:38:30 PM"
"022498","22498","289 Baldwin Street","140","Public Services and Procurement Canada","24","Lease or Licence","289 Baldwin Street","294.00","","","","No","2444037","Coaticook","24","Quebec","023","Compton--Stanstead","CA","Canada","","","45.136282","-71.807031","0","Not Protected","Rural","2014-03-07 12:30:00 PM","2019-05-17 12:00:00 PM"
"022518","22518","FCC - Strathmore","530","Farm Credit Canada","24","Lease or Licence","104 - 331, 3rd Avenue","9.00","","","","No","4805018","Strathmore","48","Alberta","003","Bow River","CA","Canada","","","51.040738","-113.399095","0","Not Protected","Urban","2014-04-16 12:30:00 PM","2020-11-25 12:00:00 PM"
"022523","22523","Call Centre Winnipeg MB","400","Canada Post","24","Lease or Licence","200-1780 Wellington Ave","699.00","1980","1","Good","Yes","4611040","Winnipeg","46","Manitoba","011","Winnipeg Centre","CA","Canada","","","49.901145","-97.208018","0","Not Protected","Urban","2014-04-24 12:30:00 PM","2014-04-24 12:30:00 PM"
"022535","22535","106 Wigle Avenue","140","Public Services and Procurement Canada","24","Lease or Licence","106 Wigle Avenue, Kingsville, Ontario, N9Y 2J8","557.00","","","","No","3537013","Kingsville","35","Ontario","026","Essex","CA","Canada","","","42.034522","-82.729066","0","Not Protected","Rural","2014-05-02 12:30:00 PM","2019-05-17 12:00:00 PM"
"022562","22562","Centennial Towers","140","Public Services and Procurement Canada","24","Lease or Licence","200 Kent Street","38658.00","","","","No","3506008","Ottawa","35","Ontario","075","Ottawa Centre","CA","Canada","","","45.417100","-75.701400","0","Not Protected","Rural","2008-10-15 2:42:04 PM","2021-10-23 5:00:00 AM"
"022564","22564","Imperial Broadway Tower","140","Public Services and Procurement Canada","24","Lease or Licence","363  Broadway Avenue, Winnipeg, Manitoba, R3C 3N9","1520.00","","","","No","4611040","Winnipeg","46","Manitoba","011","Winnipeg Centre","CA","Canada","","","49.887400","-97.143500","0","Not Protected","Urban","2008-10-15 2:42:04 PM","2020-12-17 5:00:01 AM"
"022570","22570","Fisheries & Oceans Building","140","Public Services and Procurement Canada","24","Lease or Licence","1120  Hunter Place, Squamish, British Columbia, V0N 3G0","373.00","","","","No","5931006","Squamish","59","British Columbia","042","West Vancouver--Sunshine Coast--Sea to Sky Country","CA","Canada","","","49.702754","-123.146512","0","Not Protected","Rural","2008-10-15 2:42:04 PM","2020-09-12 5:00:00 AM"
"022589","22589","425 Bloor Street East","140","Public Services and Procurement Canada","24","Lease or Licence","425 Bloor Street East, Toronto, Ontario, M4W 3R4","612.00","","","","No","3520005","Toronto","35","Ontario","093","Scarborough--Agincourt","CA","Canada","","","43.672140","-79.376292","0","Not Protected","Urban","2014-06-21 5:00:00 AM","2019-04-18 5:00:00 AM"
"022590","22590","5151 De la Savane Street","140","Public Services and Procurement Canada","24","Lease or Licence","5151 De la Savane Street","1575.00","","","","No","2466023","Montréal","24","Quebec","052","Mount Royal","CA","Canada","","","45.500102","-73.657676","0","Not Protected","Urban","2014-06-26 12:30:00 PM","2020-01-17 5:00:00 AM"
"022598","22598","433 Steeles Avenue East","140","Public Services and Procurement Canada","24","Lease or Licence","433 Steeles Avenue East, Milton, Ontaria, L9T 1Y6","361.00","","","","No","3524009","Milton","35","Ontario","057","Milton","CA","Canada","","","43.526786","-79.889269","0","Not Protected","Rural","2014-07-04 5:00:00 AM","2019-05-17 12:00:00 PM"
"022599","22599","4295 King Street East","140","Public Services and Procurement Canada","24","Lease or Licence","4295 King Street East, Kitchener, Ontario, N2P 0C6","1524.00","","","","No","3530013","Kitchener","35","Ontario","047","Kitchener South--Hespeler","CA","Canada","","","43.409487","-80.401242","0","Not Protected","Urban","2014-07-04 5:00:00 AM","2019-05-17 12:00:00 PM"
"022601","22601","60 Gillingham Drive","140","Public Services and Procurement Canada","24","Lease or Licence","60 Gillingham Drive, Brampton, Ontario, L6X 0Z9","860.00","","","","No","3521010","Brampton","35","Ontario","012","Brampton West","CA","Canada","","","43.704191","-79.786550","0","Not Protected","Urban","2014-07-04 5:00:00 AM","2019-05-17 12:00:00 PM"
"022602","22602","Market Square","140","Public Services and Procurement Canada","24","Lease or Licence","25 Frederick Street, Kitchener, Ontario, N2H 6M6","642.00","","","","No","3530013","Kitchener","35","Ontario","045","Kitchener Centre","CA","Canada","","","43.449424","-80.486514","0","Not Protected","Urban","2014-07-04 5:00:00 AM","2019-05-17 12:00:00 PM"
"022603","22603","955 Michèle-Bohec Blvd","140","Public Services and Procurement Canada","24","Lease or Licence","955 Michèle-Bohec Blvd","776.00","","","","No","2473015","Blainville","24","Quebec","013","Thérèse-De Blainville","CA","Canada","","","45.663600","-73.892509","0","Not Protected","Urban","2014-07-05 5:00:00 AM","2020-01-17 5:00:00 AM"
"022613","22613","48 Mellor Avenue","140","Public Services and Procurement Canada","24","Lease or Licence","48 Mellor Avenue","3824.00","","","","Yes","1209034","Halifax","12","Nova Scotia","004","Dartmouth--Cole Harbour","CA","Canada","","","44.707239","-63.580589","0","Not Protected","Rural","2014-07-30 3:10:40 PM","2019-04-18 5:00:00 AM"
"022637","22637","180 Bass Pro Mills Dr","140","Public Services and Procurement Canada","24","Lease or Licence","180 Bass Pro Mills Dr, Vaughan, Ontario","4727.00","","","","No","3519028","Vaughan","35","Ontario","104","Thornhill","CA","Canada","","","43.821649","-79.537680","0","Not Protected","Urban","2014-09-04 5:00:00 AM","2019-05-17 12:00:00 PM"
"022638","22638","350 Rutheford Rd South","140","Public Services and Procurement Canada","24","Lease or Licence","350 Rutherford Road South, Brampton, ON, L6W 4N6","580.00","","","","No","3521010","Brampton","35","Ontario","008","Brampton Centre","CA","Canada","","","43.681727","-79.717264","0","Not Protected","Urban","2014-09-04 5:00:00 AM","2019-05-17 12:00:00 PM"
"022651","22651","FCC Mississauga","530","Farm Credit Canada","24","Lease or Licence","210 - 7025 Langer Drive","993.00","2014","1","Good","Yes","3521005","Mississauga","35","Ontario","063","Mississauga--Streetsville","CA","Canada","","","43.608170","-79.750474","0","Not Protected","Urban","2014-09-25 5:00:00 AM","2020-11-25 12:00:00 PM"
"022654","22654","Cyril Building","140","Public Services and Procurement Canada","24","Lease or Licence","29 Harvey Street","293.00","","","","No","1001379","Harbour Grace","10","Newfoundland and Labrador","001","Avalon","CA","Canada","","","47.693966","-53.215136","0","Not Protected","Rural","2014-10-07 12:51:56 PM","2019-05-17 12:00:00 PM"
"022661","22661","6206 Quinpool Road","140","Public Services and Procurement Canada","24","Lease or Licence","6206 Quinpool Road","544.00","","","","No","1209034","Halifax","12","Nova Scotia","005","Halifax","CA","Canada","","","44.645578","-63.595834","0","Not Protected","Rural","2014-10-28 5:00:00 AM","2019-05-17 12:00:00 PM"
"022682","22682","886 Alloy Place","140","Public Services and Procurement Canada","24","Lease or Licence","866 Alloy Place, Thunder Bay, Ontario, P7B 6E6","228.00","","","","No","3558004","Thunder Bay","35","Ontario","106","Thunder Bay--Superior North","CA","Canada","","","48.413229","-89.252308","0","Not Protected","Rural","2014-11-06 5:00:00 AM","2019-05-17 12:00:00 PM"
"022693","22693","52 Ouellette Street","140","Public Services and Procurement Canada","24","Lease or Licence","52 Ouellette Street","568.00","","","","Yes","1312019","Grand Falls","13","New Brunswick","010","Tobique--Mactaquac","CA","Canada","","","47.051528","-67.768333","0","Not Protected","Rural","2015-01-31 5:00:02 AM","2019-12-12 1:38:30 PM"
"022698","22698","Frédérica Giroux Building","140","Public Services and Procurement Canada","10","Crown Owned","98  De la Reine Street, Gaspé, Quebec, G4X 3B3","1432.00","1985","1","Good","Yes","2403005","Gaspé","24","Quebec","026","Gaspésie--Les Îles-de-la-Madeleine","CA","Canada","","","48.831047","-64.482123","0","Not Protected","Rural","2008-10-15 2:42:04 PM","2022-05-28 5:00:00 AM"
"022709","22709","Westlink Building","140","Public Services and Procurement Canada","24","Lease or Licence","16825 107 Avenue; Lot 30, Block 1 Plan 112 4457","1200.00","","","","No","4811061","Edmonton","48","Alberta","020","Edmonton West","CA","Canada","","","53.552786","-113.608886","0","Not Protected","Urban","2014-12-10 12:30:00 PM","2020-07-10 5:00:00 AM"
