Directory of Federal Real Property
Real Property and Materiel Policy Division
Treasury Board of Canada Secretariat
Government of Canada

Security Level: Not Protected
Date: January 3rd, 2023
Sort order:
Character set: ISO 8859 Latin 1
Field Delimiter: Comma
Text Qualifier: Double quote
Field Names: Included in line 16
Data: Begins on line 17
Help: DFRP-ADMIN-RBIF@tbs-sct.gc.ca

"Structure Number (TEXT data)","Tenant Code (TEXT data)","Tenant Name","Floor Area"
"021151","DFO","Fisheries and Oceans Canada",3252.00
"021151","DOE","Environment and Climate Change Canada",5074.00
"021151","DUS","Innovation, Science and Economic Development Canada",1319.00
"021151","GSS","Shared Services Canada",189.00
"021151","MOT","Transport Canada",2822.00
"021151","SHC","Health Canada",516.00
"021158","CSD","Employment and Social Development Canada",542.00
"021159","995","Vacant",97.00
"021159","DVA","Veterans Affairs Canada",3703.00
"021162","CSD","Employment and Social Development Canada",869.00
"021164","DUS","Innovation, Science and Economic Development Canada",11.00
"021164","995","Vacant",556.00
"021164","DVA","Veterans Affairs Canada",360.00
"021164","NAR","Canada Revenue Agency",1834.00
"021169","DVA","Veterans Affairs Canada",586.00
"021175","ICA","Canadian Food Inspection Agency",464.00
"021181","IMC","Immigration, Refugees and Citizenship Canada",1098.00
"021185","ICA","Canadian Food Inspection Agency",300.00
"021192","DFO","Fisheries and Oceans Canada",593.00
"021310","CGC","Canadian Grain Commission",130.00
"021337","DND","National Defence",535.00
"021388","NAR","Canada Revenue Agency",2632.00
"021388","GSS","Shared Services Canada",14.00
"021412","CSD","Employment and Social Development Canada",741.00
"021413","CSD","Employment and Social Development Canada",623.00
"021415","CSD","Employment and Social Development Canada",988.00
"021467","BSF","Canada Border Services Agency",648.00
"021474","CSD","Employment and Social Development Canada",368.00
"021476","RCM","Royal Canadian Mounted Police",1284.00
"021477","PEN","Correctional Service of Canada",339.00
"021479","PEN","Correctional Service of Canada",341.00
"021482","CAP","Parks Canada Agency",142.00
"021487","DFO","Fisheries and Oceans Canada",1617.00
"021488","CSD","Employment and Social Development Canada",386.00
"021493","CSD","Employment and Social Development Canada",521.00
"021494","CSD","Employment and Social Development Canada",334.00
"021495","DND","National Defence",660.00
"021497","995","Vacant",970.00
"021499","995","Vacant",1239.00
"021500","PEN","Correctional Service of Canada",5375.00
"021500","GSS","Shared Services Canada",84.00
"021501","DFO","Fisheries and Oceans Canada",598.00
"021502","CSD","Employment and Social Development Canada",2690.00
"021503","995","Vacant",412.00
"021504","CSD","Employment and Social Development Canada",135.00
"021555","CSD","Employment and Social Development Canada",560.00
"021557","BSF","Canada Border Services Agency",1304.00
"021559","IAN","Crown-Indigenous Relations and Northern Affairs Canada",1025.00
"021559","RSN","Natural Resources Canada",202.00
"021570","PSP","Public Safety Canada",583.00
"021595","DND","National Defence",618.00
"021598","CSD","Employment and Social Development Canada",762.00
"021694","CSD","Employment and Social Development Canada",1149.00
"021700","ICA","Canadian Food Inspection Agency",327.00
"021718","PEN","Correctional Service of Canada",599.00
"021721","CSD","Employment and Social Development Canada",692.00
"021729","CSD","Employment and Social Development Canada",101.00
"021821","995","Vacant",83.00
"021821","990","Third Party",208.00
"021821","NAR","Canada Revenue Agency",22382.00
"021821","GSS","Shared Services Canada",57.00
"021827","GSS","Shared Services Canada",12.00
"021827","NAR","Canada Revenue Agency",2220.00
"021827","BSF","Canada Border Services Agency",133.00
"021836","CSD","Employment and Social Development Canada",352.00
"021876","DOE","Environment and Climate Change Canada",208.00
"021880","CSD","Employment and Social Development Canada",653.00
"021884","DUS","Innovation, Science and Economic Development Canada",461.00
"021889","DFO","Fisheries and Oceans Canada",400.00
"021912","995","Vacant",253.00
"021912","NAR","Canada Revenue Agency",24477.00
"021918","NAR","Canada Revenue Agency",6633.00
"021918","GSS","Shared Services Canada",22.00
"021918","DVA","Veterans Affairs Canada",2353.00
"021929","CSD","Employment and Social Development Canada",311.00
"021979","CSD","Employment and Social Development Canada",1042.00
"021979","995","Vacant",780.00
"021979","CEO","Office of the Chief Electoral Officer",243.00
"021979","CES","Canada School of Public Service",1108.00
"021979","AHS","Public Health Agency of Canada",1324.00
"021979","GSS","Shared Services Canada",66.00
"021979","IAN","Crown-Indigenous Relations and Northern Affairs Canada",3002.00
"021979","JUS","Department of Justice",10190.00
"021979","IMC","Immigration, Refugees and Citizenship Canada",9169.00
"021979","RCM","Royal Canadian Mounted Police",7.00
"021979","SHC","Health Canada",3037.00
"021979","STC","Statistics Canada",2228.00
"021980","CSD","Employment and Social Development Canada",783.00
"022039","995","Vacant",2206.00
"022039","DVA","Veterans Affairs Canada",11484.00
"022111","DND","National Defence",1910.00
"022170","CES","Canada School of Public Service",881.00
"022170","JUS","Department of Justice",544.00
"022187","ICA","Canadian Food Inspection Agency",1208.00
"022200","CSD","Employment and Social Development Canada",49.00
"022211","CSD","Employment and Social Development Canada",753.00
"022217","DFO","Fisheries and Oceans Canada",373.00
"022217","DIS","Indigenous Services Canada",2894.00
"022217","AGR","Agriculture and Agri-Food Canada",3657.00
"022217","995","Vacant",10.00
"022258","995","Vacant",119.00
"022258","BSF","Canada Border Services Agency",8339.00
"022258","GSS","Shared Services Canada",48.00
"022266","GSS","Shared Services Canada",40.00
"022266","DUS","Innovation, Science and Economic Development Canada",4525.00
"022294","995","Vacant",140.00
"022294","PEN","Correctional Service of Canada",809.00
"022346","ICA","Canadian Food Inspection Agency",324.00
"022381","CSD","Employment and Social Development Canada",552.00
"022403","995","Vacant",308.00
"022403","NAR","Canada Revenue Agency",12079.00
"022403","GSS","Shared Services Canada",97.00
"022404","GSS","Shared Services Canada",59.00
"022404","995","Vacant",26.00
"022447","DFO","Fisheries and Oceans Canada",1511.00
"022457","TSB","Transportation Safety Board of Canada",386.00
"022492","GSS","Shared Services Canada",233.00
"022492","DOE","Environment and Climate Change Canada",6348.00
"022498","CSD","Employment and Social Development Canada",294.00
"022535","ICA","Canadian Food Inspection Agency",557.00
"022562","GSS","Shared Services Canada",284.00
"022562","DFO","Fisheries and Oceans Canada",31897.00
"022562","995","Vacant",169.00
"022562","CAJ","Courts Administration Service",6308.00
"022564","CAJ","Courts Administration Service",946.00
"022564","PSP","Public Safety Canada",574.00
"022570","DFO","Fisheries and Oceans Canada",373.00
"022589","PSP","Public Safety Canada",612.00
"022590","PEN","Correctional Service of Canada",1575.00
"022598","CSD","Employment and Social Development Canada",361.00
"022599","CSD","Employment and Social Development Canada",1524.00
"022601","CSD","Employment and Social Development Canada",860.00
"022602","CSD","Employment and Social Development Canada",642.00
"022603","PEN","Correctional Service of Canada",776.00
"022613","CSD","Employment and Social Development Canada",3824.00
"022637","CSD","Employment and Social Development Canada",4727.00
"022638","PEN","Correctional Service of Canada",580.00
"022654","CSD","Employment and Social Development Canada",293.00
"022661","CSD","Employment and Social Development Canada",544.00
"022682","DUS","Innovation, Science and Economic Development Canada",228.00
"022693","ICA","Canadian Food Inspection Agency",568.00
"022698","ICA","Canadian Food Inspection Agency",282.00
"022698","DFO","Fisheries and Oceans Canada",87.00
"022698","CSD","Employment and Social Development Canada",610.00
"022698","995","Vacant",453.00
"022709","995","Vacant",468.00
"022709","CSD","Employment and Social Development Canada",732.00
"022716","DUS","Innovation, Science and Economic Development Canada",123.00
"022746","995","Vacant",22.00
"022764","HOC","House of Commons (Employees)",23.00
"022767","JUS","Department of Justice",1027.00
"022767","DOE","Environment and Climate Change Canada",386.00
"022767","CSD","Employment and Social Development Canada",698.00
"022770","RCM","Royal Canadian Mounted Police",2210.00
"022993","IAN","Crown-Indigenous Relations and Northern Affairs Canada",482.00
"022999","CSD","Employment and Social Development Canada",606.00
"023076","995","Vacant",294.00
"023077","DOE","Environment and Climate Change Canada",7255.00
"023077","GSS","Shared Services Canada",232.00
"023077","MOT","Transport Canada",2062.00
"023077","PEN","Correctional Service of Canada",407.00
"023158","ESO","Federal Economic Development Agency for Southern Ontario",2634.00
"023225","DFO","Fisheries and Oceans Canada",466.00
"023319","CSD","Employment and Social Development Canada",629.00
"023342","DOE","Environment and Climate Change Canada",316.00
"023432","CSD","Employment and Social Development Canada",1100.00
"023491","DUS","Innovation, Science and Economic Development Canada",724.00
"023508","CSD","Employment and Social Development Canada",280.00
"023531","GSS","Shared Services Canada",16.00
"023531","NAR","Canada Revenue Agency",10410.00
"023549","IAN","Crown-Indigenous Relations and Northern Affairs Canada",830.00
"023549","HER","Canadian Heritage",129.00
"023549","RTC","Canadian Radio-television and Telecommunications Commission",9483.00
"023549","990","Third Party",299.00
"023549","995","Vacant",506.00
"023617","STC","Statistics Canada",2387.00
"023626","PEN","Correctional Service of Canada",288.00
"023630","GSS","Shared Services Canada",11.00
"023630","NAR","Canada Revenue Agency",1706.00
"023631","PEN","Correctional Service of Canada",592.00
"023646","CSD","Employment and Social Development Canada",434.00
"023687","CSD","Employment and Social Development Canada",316.00
"023795","PEN","Correctional Service of Canada",602.00
"024012","PEN","Correctional Service of Canada",167.00
"024017","CSD","Employment and Social Development Canada",575.00
"024332","NFB","National Film Board",979.00
"024357","ICA","Canadian Food Inspection Agency",103.00
"024658","BSF","Canada Border Services Agency",18835.00
"024662","995","Vacant",12803.00
"024662","DFO","Fisheries and Oceans Canada",404.00
"024781","995","Vacant",337.00
"024781","GSS","Shared Services Canada",8232.00
"024980","DVA","Veterans Affairs Canada",532.00
"024981","DFO","Fisheries and Oceans Canada",623.00
"025097","SEN","Senate (Employees)",6831.00
"025117","JUS","Department of Justice",1302.00
"025140","CSD","Employment and Social Development Canada",977.00
"025156","DOE","Environment and Climate Change Canada",511.00
"025337","DFO","Fisheries and Oceans Canada",944.00
"025341","CSD","Employment and Social Development Canada",338.00
"025341","IAN","Crown-Indigenous Relations and Northern Affairs Canada",709.00
"025341","PEN","Correctional Service of Canada",375.00
"025342","CSD","Employment and Social Development Canada",93.00
"025349","CSD","Employment and Social Development Canada",1049.00
"025349","DND","National Defence",793.00
"025675","DVA","Veterans Affairs Canada",530.00
"025676","DOE","Environment and Climate Change Canada",623.00
"025677","ICA","Canadian Food Inspection Agency",114.00
"025704","CSD","Employment and Social Development Canada",3976.00
"025704","995","Vacant",31.00
"025715","DVA","Veterans Affairs Canada",658.00
"025792","STC","Statistics Canada",2190.00
"025793","IMC","Immigration, Refugees and Citizenship Canada",3794.00
"025794","JUS","Department of Justice",11862.00
"025832","PEN","Correctional Service of Canada",907.00
"025833","IAN","Crown-Indigenous Relations and Northern Affairs Canada",532.00
"025844","CAJ","Courts Administration Service",769.00
"025848","RCM","Royal Canadian Mounted Police",255.00
"025849","PEN","Correctional Service of Canada",529.90
"025850","CSD","Employment and Social Development Canada",300.00
"025853","DFO","Fisheries and Oceans Canada",502.00
"025855","PEN","Correctional Service of Canada",2468.00
"025857","CSD","Employment and Social Development Canada",1099.00
"025858","CSD","Employment and Social Development Canada",330.00
"025858","MOT","Transport Canada",130.00
"029844","ICA","Canadian Food Inspection Agency",151.00
"029844","CSD","Employment and Social Development Canada",427.00
"029844","CPO","Canada Post",373.00
"029844","995","Vacant",179.00
"029885","995","Vacant",984.00
"029885","DFO","Fisheries and Oceans Canada",9809.00
"029885","GSS","Shared Services Canada",68.00
"029888","GSS","Shared Services Canada",1295.00
"029888","DVA","Veterans Affairs Canada",1384.00
"029888","HER","Canadian Heritage",297.00
"029888","IMC","Immigration, Refugees and Citizenship Canada",6390.00
"029888","MOT","Transport Canada",2966.00
"029888","NAR","Canada Revenue Agency",18293.00
"029888","NPB","National Parole Board",1183.00
"029888","NFB","National Film Board",356.00
"029888","PCO","Privy Council Office",516.00
"029888","SHC","Health Canada",2313.00
"029888","STC","Statistics Canada",2430.00
"029888","WCO","Western Economic Diversification Canada",2842.00
"029888","DIS","Indigenous Services Canada",9631.00
"029888","CSW","Department for Women and Gender Equality",211.00
"029888","DND","National Defence",832.00
"029888","DUS","Innovation, Science and Economic Development Canada",1032.00
"029888","DOE","Environment and Climate Change Canada",320.00
"029888","COL","Office of the Commissioner of Official Languages",150.00
"029888","CSD","Employment and Social Development Canada",13433.00
"029888","990","Third Party",797.00
"029888","995","Vacant",2917.00
"029888","CES","Canada School of Public Service",510.00
"029888","AUD","Office of the Auditor General of Canada",355.00
"029888","AGR","Agriculture and Agri-Food Canada",652.00
"029888","AHS","Public Health Agency of Canada",745.00
"030578","CAJ","Courts Administration Service",21387.00
"030578","995","Vacant",2673.00
"030578","990","Third Party",4433.00
"030578","CLR","Canada Industrial Relations Board",1348.00
"030578","CSE","Communications Security Establishment",650.00
"030578","SIR","Security Intelligence Review Committee",975.00
"030578","PCO","Privy Council Office",5409.00
"030578","PPS","Parliamentary Protective Service",395.00
"030578","IAN","Crown-Indigenous Relations and Northern Affairs Canada",732.00
"030578","ESN","Office of the Senate Ethics Officer",286.00
"030733","GSS","Shared Services Canada",28.50
"030733","MOT","Transport Canada",3885.00
"030733","COL","Office of the Commissioner of Official Languages",173.10
"030733","CSD","Employment and Social Development Canada",3133.00
"030778","JUS","Department of Justice",4463.10
"030778","GSS","Shared Services Canada",22.40
"030816","DVA","Veterans Affairs Canada",566.00
"030816","CSD","Employment and Social Development Canada",605.00
"030816","995","Vacant",20.00
"030816","ACO","Atlantic Canada Opportunities Agency",160.00
"030844","DOE","Environment and Climate Change Canada",485.00
"030913","DFO","Fisheries and Oceans Canada",382.00
"030949","CAJ","Courts Administration Service",1913.00
"031177","995","Vacant",1186.00
"031177","CSD","Employment and Social Development Canada",1699.00
"031177","PEN","Correctional Service of Canada",444.00
"031402","GSS","Shared Services Canada",17.00
"031402","CSD","Employment and Social Development Canada",106.00
"031402","995","Vacant",1235.00
"031402","990","Third Party",257.00
"031402","CAP","Parks Canada Agency",1050.00
"031446","CAP","Parks Canada Agency",3221.00
"031452","CFC","Financial Transactions and Reports Analysis Centre of Canada",8272.00
"031452","995","Vacant",7854.00
"031452","IJC","International Joint Commission",1176.00
"031452","PEN","Correctional Service of Canada",1580.00
"032088","PSP","Public Safety Canada",649.00
"032088","NAR","Canada Revenue Agency",14183.00
"032195","PSP","Public Safety Canada",878.00
"032239","CAP","Parks Canada Agency",144.00
"032358","PSP","Public Safety Canada",9296.00
"032442","PEN","Correctional Service of Canada",62.00
"032442","PCO","Privy Council Office",486.00
"032442","WCO","Western Economic Diversification Canada",383.00
"032442","STC","Statistics Canada",1055.00
"032442","HER","Canadian Heritage",1065.00
"032442","CEO","Office of the Chief Electoral Officer",175.00
"032442","995","Vacant",1203.00
"032442","DIS","Indigenous Services Canada",945.00
"032595","BSF","Canada Border Services Agency",3877.00
"032723","TSB","Transportation Safety Board of Canada",775.00
"032882","995","Vacant",48.00
"032882","CSD","Employment and Social Development Canada",5723.00
"032958","CSD","Employment and Social Development Canada",264.00
"033186","CSD","Employment and Social Development Canada",387.00
"033191","TSB","Transportation Safety Board of Canada",961.00
"034618","PEN","Correctional Service of Canada",1201.00
"034618","ICA","Canadian Food Inspection Agency",698.00
"034618","CSD","Employment and Social Development Canada",807.00
"034618","DFO","Fisheries and Oceans Canada",1251.00
"034618","DOE","Environment and Climate Change Canada",261.00
"034618","995","Vacant",873.00
"034618","990","Third Party",399.00
"042011","MOT","Transport Canada",278.00
"042013","IAN","Crown-Indigenous Relations and Northern Affairs Canada",2751.00
"042013","GSS","Shared Services Canada",33.00
"042013","PSP","Public Safety Canada",1923.00
"042013","PSC","Public Service Commission",1060.00
"042013","SHC","Health Canada",4165.00
"042013","995","Vacant",10.00
"042013","AUD","Office of the Auditor General of Canada",290.00
"042013","CES","Canada School of Public Service",830.00
"042013","AHS","Public Health Agency of Canada",25.00
"042013","DUS","Innovation, Science and Economic Development Canada",874.00
"042121","DFO","Fisheries and Oceans Canada",624.00
"042166","DOE","Environment and Climate Change Canada",112.00
"042171","995","Vacant",635.00
"042198","ACO","Atlantic Canada Opportunities Agency",4197.00
"042198","GSS","Shared Services Canada",57.00
"042204","IMC","Immigration, Refugees and Citizenship Canada",1150.00
"042204","CSD","Employment and Social Development Canada",822.00
"042220","DOE","Environment and Climate Change Canada",499.00
"042220","ACO","Atlantic Canada Opportunities Agency",2640.00
"042220","CAJ","Courts Administration Service",332.00
"042220","PCO","Privy Council Office",521.00
"042238","CSD","Employment and Social Development Canada",664.00
"042256","CSD","Employment and Social Development Canada",292.00
"043061","PEN","Correctional Service of Canada",596.00
"043062","CSD","Employment and Social Development Canada",470.00
"043068","DUS","Innovation, Science and Economic Development Canada",427.00
"043083","DUS","Innovation, Science and Economic Development Canada",262.00
"043090","SHC","Health Canada",926.00
"043090","MOT","Transport Canada",310.00
"043146","PEN","Correctional Service of Canada",399.00
"043171","CSN","Canadian Nuclear Safety Commission",244.00
"043171","CSD","Employment and Social Development Canada",3937.00
"043503","BSF","Canada Border Services Agency",75.00
"043503","995","Vacant",457.00
"043503","MOT","Transport Canada",110.00
"043503","NAR","Canada Revenue Agency",1929.00
"043503","ICA","Canadian Food Inspection Agency",169.00
"043503","GSS","Shared Services Canada",30.00
"043503","DVA","Veterans Affairs Canada",323.00
"043554","GSS","Shared Services Canada",12.00
"043554","ICA","Canadian Food Inspection Agency",156.00
"043554","DFO","Fisheries and Oceans Canada",584.00
"043567","995","Vacant",360.00
"043664","CSD","Employment and Social Development Canada",617.00
"043664","FRD","Economic Development Agency of Canada for the Regions of Quebec",290.00
"043754","CSD","Employment and Social Development Canada",355.00
"044018","DND","National Defence",14162.00
"046051","CAJ","Courts Administration Service",1030.00
"046086","DIS","Indigenous Services Canada",1881.00
"046086","GSS","Shared Services Canada",16.00
"046172","ICA","Canadian Food Inspection Agency",203.00
"046293","NAR","Canada Revenue Agency",2946.00
"046343","JUS","Department of Justice",715.00
"046343","DUS","Innovation, Science and Economic Development Canada",574.00
"046343","995","Vacant",367.00
"046350","CSD","Employment and Social Development Canada",7767.00
"046408","TSB","Transportation Safety Board of Canada",609.00
"046414","CSD","Employment and Social Development Canada",812.00
"046425","CSD","Employment and Social Development Canada",338.00
"046519","AGR","Agriculture and Agri-Food Canada",47.00
"046583","DFO","Fisheries and Oceans Canada",619.00
"047028","CSD","Employment and Social Development Canada",457.00
"047031","PEN","Correctional Service of Canada",476.00
"047041","GSS","Shared Services Canada",18.00
"047041","CSD","Employment and Social Development Canada",618.00
"047041","DND","National Defence",1482.00
"047042","CSD","Employment and Social Development Canada",460.00
"047046","CSD","Employment and Social Development Canada",327.00
"047046","MOT","Transport Canada",196.00
"047046","ICA","Canadian Food Inspection Agency",258.00
"047052","PEN","Correctional Service of Canada",887.00
"047060","CSD","Employment and Social Development Canada",7076.00
"047061","CGC","Canadian Grain Commission",994.00
"047065","995","Vacant",75.00
"047065","JUS","Department of Justice",11298.00
"047113","CSD","Employment and Social Development Canada",608.00
"047120","ICA","Canadian Food Inspection Agency",151.00
"053010","DFO","Fisheries and Oceans Canada",544.00
"053044","DFO","Fisheries and Oceans Canada",307.00
"053049","PEN","Correctional Service of Canada",758.00
"053056","CSD","Employment and Social Development Canada",421.00
"053111","995","Vacant",1299.00
"053111","RSN","Natural Resources Canada",2175.00
"053111","GSS","Shared Services Canada",17.00
"053111","DVA","Veterans Affairs Canada",2177.00
"053183","ICA","Canadian Food Inspection Agency",445.00
"053210","PSP","Public Safety Canada",7519.00
"053249","IMC","Immigration, Refugees and Citizenship Canada",2776.00
"053249","995","Vacant",24.00
"053274","CSD","Employment and Social Development Canada",786.00
"053277","CSD","Employment and Social Development Canada",639.00
"053336","MOT","Transport Canada",441.00
"053338","PSP","Public Safety Canada",126.00
"053340","MOT","Transport Canada",225.00
"053346","DFO","Fisheries and Oceans Canada",426.00
"053346","DOE","Environment and Climate Change Canada",161.00
"053370","DFO","Fisheries and Oceans Canada",1013.00
"053371","MOT","Transport Canada",328.00
"053375","DFO","Fisheries and Oceans Canada",164.00
"053379","CSD","Employment and Social Development Canada",1300.00
"053379","995","Vacant",270.00
"053382","CSD","Employment and Social Development Canada",127.00
"053522","CSD","Employment and Social Development Canada",487.00
"053540","DIS","Indigenous Services Canada",633.00
"053540","IOG","Indian Oil and Gas Canada",2038.00
"053556","CSD","Employment and Social Development Canada",386.00
"053604","CSD","Employment and Social Development Canada",354.00
"053610","CSD","Employment and Social Development Canada",271.00
"053617","DUS","Innovation, Science and Economic Development Canada",1558.00
"053617","995","Vacant",11.00
"053617","JUS","Department of Justice",2849.00
"053631","DFO","Fisheries and Oceans Canada",792.00
"053636","DIS","Indigenous Services Canada",86.00
"053661","DUS","Innovation, Science and Economic Development Canada",317.00
"053669","CGC","Canadian Grain Commission",704.00
"053701","JUS","Department of Justice",875.00
"053705","CSD","Employment and Social Development Canada",313.00
"053737","PEN","Correctional Service of Canada",380.00
"053743","BSF","Canada Border Services Agency",800.00
"053743","995","Vacant",30.00
"053753","AGR","Agriculture and Agri-Food Canada",7097.00
"053754","MOT","Transport Canada",1287.00
"053755","BSF","Canada Border Services Agency",780.00
"053755","DOE","Environment and Climate Change Canada",3111.00
"054078","DOE","Environment and Climate Change Canada",25226.00
"054078","995","Vacant",1092.00
"054078","990","Third Party",300.00
"054078","GSS","Shared Services Canada",378.00
"054095","GSS","Shared Services Canada",62.00
"054095","NAR","Canada Revenue Agency",14116.00
"054095","SHC","Health Canada",907.00
"054095","990","Third Party",148.00
"054095","995","Vacant",1815.00
"054095","CSD","Employment and Social Development Canada",15032.00
"054097","CSD","Employment and Social Development Canada",1600.00
"054097","DOE","Environment and Climate Change Canada",232.00
"054097","995","Vacant",726.00
"054097","CAP","Parks Canada Agency",4085.00
"054097","PEN","Correctional Service of Canada",133.00
"054097","GSS","Shared Services Canada",248.00
"054105","IAN","Crown-Indigenous Relations and Northern Affairs Canada",149.00
"054105","PEN","Correctional Service of Canada",151.00
"054105","RCM","Royal Canadian Mounted Police",693.00
"054105","BSF","Canada Border Services Agency",756.00
"054105","995","Vacant",1686.00
"054105","DOE","Environment and Climate Change Canada",180.00
"054105","CSD","Employment and Social Development Canada",699.00
"054112","995","Vacant",2790.00
"054204","GSS","Shared Services Canada",1486.00
"054223","CSD","Employment and Social Development Canada",320.00
"054230","CSD","Employment and Social Development Canada",405.00
"054231","AGR","Agriculture and Agri-Food Canada",875.00
"054231","GSS","Shared Services Canada",115.00
"054231","ICA","Canadian Food Inspection Agency",3745.00
"054242","NAR","Canada Revenue Agency",5387.00
"054242","GSS","Shared Services Canada",26.00
"054261","IMC","Immigration, Refugees and Citizenship Canada",7846.00
"054300","CSD","Employment and Social Development Canada",280.00
"054302","BSF","Canada Border Services Agency",1601.00
"054302","995","Vacant",9.00
"054312","CSD","Employment and Social Development Canada",230.00
"054357","CSD","Employment and Social Development Canada",995.00
"054357","IJC","International Joint Commission",700.00
"054357","PSP","Public Safety Canada",417.00
"054415","RCM","Royal Canadian Mounted Police",8794.00
"054415","GSS","Shared Services Canada",60.00
"054421","DFO","Fisheries and Oceans Canada",756.00
"054435","SIF","Office of the Superintendent of Financial Institutions",10453.00
"054435","PCO","Privy Council Office",352.00
"054439","PEN","Correctional Service of Canada",156.00
"054439","DVA","Veterans Affairs Canada",558.00
"054439","ICA","Canadian Food Inspection Agency",294.00
"054439","DUS","Innovation, Science and Economic Development Canada",140.00
"054439","CSD","Employment and Social Development Canada",598.00
"054439","995","Vacant",509.00
"054444","BSF","Canada Border Services Agency",1556.00
"054444","NAR","Canada Revenue Agency",1575.00
"054444","DVA","Veterans Affairs Canada",822.00
"054447","RSN","Natural Resources Canada",1170.00
"054454","CSD","Employment and Social Development Canada",353.00
"054459","ICA","Canadian Food Inspection Agency",2744.00
"054463","CSD","Employment and Social Development Canada",417.00
"054466","DUS","Innovation, Science and Economic Development Canada",317.00
"054475","IAN","Crown-Indigenous Relations and Northern Affairs Canada",150.00
"054475","HER","Canadian Heritage",174.00
"054489","CSD","Employment and Social Development Canada",326.00
"054498","IAN","Crown-Indigenous Relations and Northern Affairs Canada",2337.00
"054498","GSS","Shared Services Canada",31.00
"054549","CSD","Employment and Social Development Canada",117.00
"054564","995","Vacant",7492.00
"054564","GSS","Shared Services Canada",4199.00
"054564","MOT","Transport Canada",1006.00
"054564","JUS","Department of Justice",667.00
"054565","JUS","Department of Justice",3362.00
"054565","SSH","Social Sciences and Humanities Research Council",503.00
"054565","PEN","Correctional Service of Canada",1598.00
"054565","995","Vacant",234.00
"054565","CSD","Employment and Social Development Canada",721.00
"054565","DVA","Veterans Affairs Canada",394.00
"054577","CSD","Employment and Social Development Canada",3422.00
"054595","CSE","Communications Security Establishment",696.00
"054605","ACO","Atlantic Canada Opportunities Agency",846.00
"054605","PCO","Privy Council Office",838.00
"054605","SEN","Senate (Employees)",844.00
"054605","PSP","Public Safety Canada",3522.00
"054605","INT","Office of the Public Sector Integrity Commissioner",827.00
"054605","GSS","Shared Services Canada",381.00
"054605","FCG","Canadian Forces Grievance Board",1289.00
"054610","SHC","Health Canada",5728.00
"054613","MOT","Transport Canada",469.00
"054614","NAR","Canada Revenue Agency",9954.00
"054614","IMC","Immigration, Refugees and Citizenship Canada",6954.00
"054614","GSS","Shared Services Canada",1075.00
"054614","IAN","Crown-Indigenous Relations and Northern Affairs Canada",51.00
"054614","HRC","Canadian Human Rights Commission",5122.00
"054614","995","Vacant",63.00
"054614","CLR","Canada Industrial Relations Board",4961.00
"054616","HOC","House of Commons (Employees)",1509.00
"054617","SEN","Senate (Employees)",4194.00
"054617","COP","Copyright Board",1058.00
"054617","995","Vacant",38.00
"054631","CSD","Employment and Social Development Canada",340.00
"054668","995","Vacant",12.00
"054668","GSS","Shared Services Canada",91.00
"054668","ICA","Canadian Food Inspection Agency",9741.00
"054672","EXT","Global Affairs Canada",1031.00
"054692","995","Vacant",573.00
"054692","CSN","Canadian Nuclear Safety Commission",14513.00
"054827","DVA","Veterans Affairs Canada",530.00
"054855","995","Vacant",1569.00
"054855","SHC","Health Canada",3470.00
"054864","PXR","Patented Medicine Prices Review Board",1448.00
"054864","NAR","Canada Revenue Agency",13089.00
"054864","995","Vacant",181.00
"054864","DND","National Defence",458.00
"054864","CSN","Canadian Nuclear Safety Commission",367.00
"054864","CLR","Canada Industrial Relations Board",4793.00
"054869","HOC","House of Commons (Employees)",6812.00
"054869","PCO","Privy Council Office",629.00
"054869","PPS","Parliamentary Protective Service",3713.00
"054878","BSF","Canada Border Services Agency",4679.00
"054881","DND","National Defence",2429.00
"054885","DND","National Defence",5099.00
"054885","GSS","Shared Services Canada",49.00
"054899","GSS","Shared Services Canada",541.00
"054899","PEN","Correctional Service of Canada",17884.00
"054899","PCO","Privy Council Office",495.00
"054899","PSP","Public Safety Canada",7819.00
"054899","995","Vacant",1024.00
"054911","MOT","Transport Canada",238.00
"054928","NAR","Canada Revenue Agency",1831.00
"054961","GSS","Shared Services Canada",3484.00
"054963","GSS","Shared Services Canada",35.00
"054963","NAR","Canada Revenue Agency",8951.00
"054963","995","Vacant",3835.00
"054966","GSS","Shared Services Canada",5164.00
"054971","FNA","Financial Consumer Agency of Canada",3262.00
"054971","NAR","Canada Revenue Agency",3139.00
"054971","MOT","Transport Canada",2511.00
"054971","IMC","Immigration, Refugees and Citizenship Canada",1342.00
"054971","INF","Infrastructure Canada",1830.00
"054971","WCO","Western Economic Diversification Canada",1039.00
"054971","995","Vacant",35.00
"054971","CLR","Canada Industrial Relations Board",1024.00
"054972","995","Vacant",209.00
"054972","GSS","Shared Services Canada",10384.00
"054972","FJA","Office of the Commissioner for Federal Judicial Affairs",605.00
"054973","ESO","Federal Economic Development Agency for Southern Ontario",369.00
"054973","995","Vacant",16.00
"054973","BSF","Canada Border Services Agency",2479.00
"054973","CIC","Canadian Intergovernmental Conference Secretariat",1110.00
"054974","995","Vacant",11.00
"054974","NAR","Canada Revenue Agency",717.00
"054974","SHC","Health Canada",4509.00
"054975","IMC","Immigration, Refugees and Citizenship Canada",23714.00
"054975","995","Vacant",115.00
"054975","BSF","Canada Border Services Agency",3476.00
