Directory of Federal Real Property
Real Property and Materiel Policy Division
Treasury Board of Canada Secretariat
Government of Canada

Security Level: Not Protected
Date: January 1st, 2023
Sort order:
Character set: ISO 8859 Latin 1
Field Delimiter: Comma
Text Qualifier: Double quote
Field Names: Included in line 16
Data: Begins on line 17
Help: DFRP-ADMIN-RBIF@tbs-sct.gc.ca

"Property Number (TEXT data)","Parcel Number (TEXT data)","Property Name","Custodian Code (TEXT data)","Custodian Name","Primary Use Group Code (TEXT data)","Primary Use Group","Interest Type Code (TEXT data)","Interest Type","Restriction on Interest Code (TEXT data)","Restriction on Interest","Street Address","Place Name","SGC Code (TEXT data)","Municipality","Province or Territory Code (TEXT data)","Province or Territory","Federal Electoral District Code (TEXT data)","Federal Electoral District","Country Code (TEXT data)","Country","City Code (TEXT data)","City","Land Area","Building Count","Floor Area","Exterior Parking","Interior Parking","Interior Parking Included in Floor Area","Latitude","Longitude","Positional Accuracy","Security Code (TEXT data)","Security Designation","Census Classification","Record Created On","Record Last Modified On"
"20979","00","914 Yates Street Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","914 Yates Street","","5917034","Victoria","59","British Columbia","041","Victoria","CA","Canada","","","0.0000",1,"1202.00",0,0,"No","48.425943","-123.358588",40,"0","Not Protected","Urban","2012-03-12 1:29:37 PM","2021-07-19 12:00:00 PM"
"20980","00","Robinson Complex Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","82 Robinson Street South","","2447017","Granby","24","Quebec","072","Shefford","CA","Canada","","","0.0000",1,"454.00",0,0,"No","45.404784","-72.744564",100,"0","Not Protected","Urban","2012-03-12 3:22:53 PM","2021-07-19 12:00:00 PM"
"21007","00","211 Jubilee Street Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","211 Jubilee Street","","5919012","Duncan","59","British Columbia","010","Cowichan--Malahat--Langford","CA","Canada","","","0.0000",1,"356.00",0,0,"No","48.778622","-123.710707",50,"0","Not Protected","Urban","2003-08-12 8:20:07 AM","2021-07-19 12:00:00 PM"
"21010","00","361 and 365 Hargrave Street Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","361 and 365 Hargrave Street; Lots 93 and 94 Block 4 Plan 129 WLTO","","4611040","Winnipeg","46","Manitoba","011","Winnipeg Centre","CA","Canada","","","0.0000",1,"6555.00",0,1,"No","49.895180","-97.145520",10,"0","Not Protected","Urban","2003-08-08 8:11:18 AM","2021-12-16 5:00:01 AM"
"21023","00","Pennbridge Medical Centre Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","4475 Viewmont Avenue","","5917021","Saanich","59","British Columbia","026","Esquimalt--Saanich--Sooke","CA","Canada","","","0.0000",1,"676.00",15,0,"No","48.493083","-123.389293",63,"0","Not Protected","Urban","2003-09-04 9:49:15 AM","2021-07-19 12:00:00 PM"
"21028","00","GC Site - Inuvik","140","Public Services and Procurement Canada","45 ","Office","10","Crown Owned","00","No Restriction","187  Mackenzie Road","","6101017","Inuvik","61","Northwest Territories","001","Northwest Territories","CA","Canada","","","0.2387",1,"862.00",9,0,"No","68.356538","-133.721074",50,"0","Not Protected","Rural","1990-08-03 12:00:00 AM","2019-04-18 5:00:00 AM"
"21030","00","B.C. Rail Centre Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","221 Esplanade Avenue West","","5915051","North Vancouver","59","British Columbia","021","North Vancouver","CA","Canada","","","0.0000",1,"446.00",0,0,"No","49.312253","-123.083752",10,"0","Not Protected","Urban","2003-09-04 9:49:15 AM","2021-07-19 12:00:00 PM"
"21055","00","Tax Services Office Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","3250 Lapinière Boulevard","","2458007","Brossard","24","Quebec","017","Brossard--Saint-Lambert","CA","Canada","","","0.0000",1,"5270.00",11,0,"No","45.463854","-73.455476",81,"0","Not Protected","Urban","2003-09-11 8:03:22 AM","2019-05-17 5:00:01 AM"
"21056","00","98-100 Racine Street East Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","98-100 Racine Street East","","2494068","Saguenay","24","Quebec","022","Chicoutimi--Le Fjord","CA","Canada","","","0.0000",1,"1166.00",0,0,"No","48.427779","-71.065442",100,"0","Not Protected","Rural","2012-03-23 1:52:15 PM","2021-07-19 12:00:00 PM"
"21077","00","119 King Street Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","119 King Street","","3560027","Dryden","35","Ontario","042","Kenora","CA","Canada","","","0.0000",1,"346.00",0,0,"No","49.784436","-92.832648",10,"0","Not Protected","Rural","2012-03-23 1:52:15 PM","2019-05-17 5:00:01 AM"
"21100","00","522 Main Street Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","522 Main Street","","1307052","Shediac","13","New Brunswick","002","Beauséjour","CA","Canada","","","0.0000",1,"2489.00",2,0,"No","46.223030","-64.520900",5,"0","Not Protected","Rural","2012-04-03 9:21:43 AM","2021-07-19 12:00:00 PM"
"21101","00","Miramichi Mall Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","408 King George Highway","","1309050","Miramichi","13","New Brunswick","006","Miramichi--Grand Lake","CA","Canada","","","0.0000",1,"980.00",2,0,"No","46.991940","-65.571670",10,"0","Not Protected","Rural","2012-04-03 3:30:06 PM","2021-07-19 12:00:00 PM"
"21103","00","Service Canada Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","98 Sydney Street","","1203006","Digby","12","Nova Scotia","011","West Nova","CA","Canada","","","0.0000",1,"359.00",3,0,"No","44.622860","-65.766589",10,"0","Not Protected","Urban","2012-04-03 3:30:06 PM","2021-07-19 12:00:00 PM"
"21112","00","Office","162","Royal Canadian Mounted Police","45 ","Office","24","Lease or Licence","00","No Restriction","2200 Reverchon","","2466087","Dorval","24","Quebec","024","Dorval--Lachine--LaSalle","CA","Canada","","","0.0000",1,"1454.00",0,0,"Yes","45.469800","-73.777000",30,"0","Not Protected","Urban","2012-03-26 2:08:16 PM","2021-07-19 12:00:00 PM"
"21114","00","Epcor Tower Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","10423 101 Street","","4811061","Edmonton","48","Alberta","014","Edmonton Centre","CA","Canada","","","0.0000",1,"9913.00",0,0,"No","53.547420","-113.493030",50,"0","Not Protected","Urban","2012-04-12 3:19:35 PM","2019-04-18 5:00:00 AM"
"21122","00","1785 Clearbrook Road Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","103 - 1785 Clearbrook Road","","5909052","Abbotsford","59","British Columbia","001","Abbotsford","CA","Canada","","","0.0000",1,"449.00",11,0,"No","49.034482","-122.338718",30,"0","Not Protected","Rural","2012-04-20 11:10:38 AM","2021-07-19 12:00:00 PM"
"21126","00","1321 Blanshard Street Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","1321 Blanshard Street","","5917034","Victoria","59","British Columbia","041","Victoria","CA","Canada","","","0.0000",1,"2539.00",0,7,"No","48.426460","-123.361200",56,"0","Not Protected","Urban","2012-03-28 11:11:56 AM","2021-07-19 12:00:00 PM"
"21149","00","Office","162","Royal Canadian Mounted Police","45 ","Office","24","Lease or Licence","00","No Restriction","1020 Victoria Ave","","4607062","Brandon","46","Manitoba","001","Brandon--Souris","CA","Canada","","","0.0000",1,"373.00",0,0,"Yes","49.840975","-99.952163",20,"0","Not Protected","Urban","2012-09-12 11:31:11 AM","2021-07-19 12:00:00 PM"
"21151","00","1550 d'Estimauville Avenue Site","140","Public Services and Procurement Canada","45 ","Office","10","Crown Owned","00","No Restriction","1550 D'Estimauville Avenue","","2423027","Québec","24","Quebec","008","Beauport--Limoilou","CA","Canada","","","0.5310",1,"18300.00",0,70,"No","46.843139","-71.211609",100,"0","Not Protected","Urban","2012-05-09 2:18:30 PM","2021-10-19 5:00:00 AM"
"21158","00","215-219 George Street Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","215-219 George Street","","3515014","Peterborough","35","Ontario","084","Peterborough--Kawartha","CA","Canada","","","0.0000",1,"542.00",0,0,"No","44.300192","-78.319845",10,"0","Not Protected","Urban","2012-05-14 1:21:51 PM","2019-05-17 5:00:01 AM"
"21159","00","8 Oakes Avenue Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","8 Oakes Avenue","","3554068","Kirkland Lake","35","Ontario","107","Timmins--James Bay","CA","Canada","","","0.0000",1,"3800.00",6,0,"No","48.146720","-80.047164",100,"0","Not Protected","Rural","2012-05-14 1:21:51 PM","2019-05-17 5:00:01 AM"
"21162","00","Cherryhill Village Mall Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","301 Oxford Street West","","3539036","London","35","Ontario","052","London North Centre","CA","Canada","","","0.0000",1,"869.00",0,0,"No","42.990236","-81.275161",100,"0","Not Protected","Urban","2012-05-14 1:21:51 PM","2019-05-17 5:00:01 AM"
"21164","00","1161 Crawford Drive Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","1161 Crawford Drive","","3515014","Peterborough","35","Ontario","084","Peterborough--Kawartha","CA","Canada","","","0.0000",1,"2968.00",109,0,"No","44.268385","-78.344131",100,"0","Not Protected","Urban","2012-05-14 1:21:51 PM","2019-05-17 5:00:01 AM"
"21169","00","15-17 Front Street Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","15-17 Front Street","","3512015","Quinte West","35","Ontario","006","Bay of Quinte","CA","Canada","","","0.0000",1,"586.00",1,0,"No","44.102119","-77.575641",20,"0","Not Protected","Rural","2012-05-14 1:21:51 PM","2019-05-17 5:00:01 AM"
"21175","00","Eagle Ridge Professional Complex Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","500 Huronia Road","","3543042","Barrie","35","Ontario","004","Barrie--Innisfil","CA","Canada","","","0.0000",1,"464.00",11,0,"No","44.346735","-79.664376",50,"0","Not Protected","Urban","2012-05-14 1:21:51 PM","2019-05-17 5:00:01 AM"
"21181","00","4318 Portage Rd Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","4318 Portage Road","","3526043","Niagara Falls","35","Ontario","067","Niagara Falls","CA","Canada","","","0.0000",1,"1098.00",0,0,"No","43.111028","-79.096719",20,"0","Not Protected","Rural","2012-05-14 1:21:51 PM","2019-05-17 5:00:01 AM"
"21185","00","Re/Max Blue Chip Realty Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","80 Palliser Way","","4709012","Yorkton","47","Saskatchewan","014","Yorkton--Melville","CA","Canada","","","0.0000",1,"300.00",6,0,"No","51.207860","-102.444330",50,"0","Not Protected","Urban","2012-05-17 1:28:20 PM","2019-04-18 5:00:00 AM"
"21192","00","4706 Tebo Avenue Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","4706 Tebo Avenue","","5923008","Port Alberni","59","British Columbia","009","Courtenay--Alberni","CA","Canada","","","0.1205",1,"600.00",7,0,"No","49.260442","-124.791261",30,"0","Not Protected","Urban","2012-05-22 3:29:35 PM","2021-07-19 12:00:00 PM"
"21310","00","MNP Place Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","117 3 Street; Lots 1-4 Block 11, Plan AZ2032 and Lots 5-9, Block 11, Plan 31899","","4702047","Weyburn","47","Saskatchewan","013","Souris--Moose Mountain","CA","Canada","","","0.0000",1,"130.00",3,0,"No","49.662086","-103.854014",50,"0","Not Protected","Urban","2012-05-29 2:30:21 PM","2019-05-17 5:00:01 AM"
"21317","00","Chancery Annex","060","Global Affairs Canada","45 ","Office","10","Crown Owned","00","No Restriction","Protected","Protected","","","","","","","KE","Kenya","001","Nairobi","0.2500",1,"1752.00",0,0,"Yes","Protected","Protected",0,"2","Specific Location Protected","","2012-05-29 2:30:21 PM","2021-10-27 5:00:00 AM"
"21335","00","Office","162","Royal Canadian Mounted Police","45 ","Office","24","Lease or Licence","00","No Restriction","455 Fénélon","","2466087","Dorval","24","Quebec","024","Dorval--Lachine--LaSalle","CA","Canada","","","0.0000",1,"850.00",0,0,"Yes","45.446800","-73.750300",30,"0","Not Protected","Urban","2012-06-01 12:57:48 PM","2021-07-19 12:00:00 PM"
"21337","00","Crossroads Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","1725 11 Avenue; Lots 1-5, Block 303, Plan OLD33 and Lots 46-50, Block 303, Plan 101169884","","4706027","Regina","47","Saskatchewan","009","Regina--Wascana","CA","Canada","","","0.0000",1,"535.00",0,0,"No","50.450280","-104.605810",50,"0","Not Protected","Urban","2012-06-04 7:58:33 AM","2019-04-18 5:00:00 AM"
"21386","00","Office","162","Royal Canadian Mounted Police","45 ","Office","10","Crown Owned","00","No Restriction","630 York Rd","","3526047","Niagara-on-the-Lake","35","Ontario","067","Niagara Falls","CA","Canada","","","3.0200",1,"3645.00",0,0,"Yes","43.161000","-79.161000",20,"0","Not Protected","Rural","2012-06-29 1:18:55 PM","2021-07-19 12:00:00 PM"
"21388","00","Assumption Place Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","770 Main Street","","1307022","Moncton","13","New Brunswick","007","Moncton--Riverview--Dieppe","CA","Canada","","","0.0000",1,"2646.00",0,0,"No","46.087769","-64.777142",20,"0","Not Protected","Urban","2012-07-20 4:36:17 PM","2021-07-19 12:00:00 PM"
"21412","00","Pen Centre Shopping Plaza Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","221 Glendale Avenue","","3526053","St. Catharines","35","Ontario","089","St. Catharines","CA","Canada","","","0.0000",1,"741.00",0,0,"No","43.136672","-79.225724",100,"0","Not Protected","Urban","2012-07-09 1:29:01 PM","2019-05-17 5:00:01 AM"
"21413","00","Du Littoral Complex Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","2500 Montmorency Boulevard","","2423027","Québec","24","Quebec","008","Beauport--Limoilou","CA","Canada","","","0.0000",1,"623.00",0,5,"No","46.841538","-71.213458",100,"0","Not Protected","Urban","2012-07-12 1:44:48 PM","2019-05-17 5:00:01 AM"
"21415","00","559 College St Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","559 College Street","","3520005","Toronto","35","Ontario","110","University--Rosedale","CA","Canada","","","0.0000",1,"988.00",0,0,"No","43.655291","-79.412224",10,"0","Not Protected","Urban","2012-07-17 12:37:35 PM","2019-05-17 5:00:01 AM"
"21467","00","501 Tollgate Road East Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","501 Tollgate Road East","","3501012","Cornwall","35","Ontario","102","Stormont--Dundas--South Glengarry","CA","Canada","","","0.0000",1,"648.00",7,0,"No","45.050311","-74.739431",20,"0","Not Protected","Urban","2012-08-14 1:41:37 PM","2019-05-17 5:00:01 AM"
"21474","00","519 - 521 Main Street East Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","519 - 521 Main Street East","","3502008","Hawkesbury","35","Ontario","031","Glengarry--Prescott--Russell","CA","Canada","","","0.0000",1,"368.00",0,0,"No","45.610571","-74.602657",20,"0","Not Protected","Urban","2012-08-28 10:13:55 AM","2019-05-17 5:00:01 AM"
"21476","00","330 St. Mary Avenue Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","330 St. Mary Avenue","","4611040","Winnipeg","46","Manitoba","011","Winnipeg Centre","CA","Canada","","","0.0000",1,"1284.00",2,0,"No","49.890190","-97.142770",50,"0","Not Protected","Urban","2012-08-29 1:53:40 PM","2019-12-11 12:00:00 PM"
"21477","00","8990 Young Road Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","8990 Young Road","","5909020","Chilliwack","59","British Columbia","006","Chilliwack--Hope","CA","Canada","","","0.0000",1,"339.00",2,0,"No","49.165550","-121.952310",11,"0","Not Protected","Rural","2012-08-29 1:53:40 PM","2021-07-19 12:00:00 PM"
"21479","00","York-Aberdeen  Centre Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","364 York Street","","1310032","Fredericton","13","New Brunswick","003","Fredericton","CA","Canada","","","0.0000",1,"341.00",4,0,"No","45.957000","-66.647810",10,"0","Not Protected","Urban","2012-10-10 2:18:13 PM","2021-07-19 12:00:00 PM"
"21482","00","Credit Union Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","115 Jasper Street; Lot 8, Block 2, Plan D854","","4704048","Maple Creek","47","Saskatchewan","002","Cypress Hills--Grasslands","CA","Canada","","","0.0000",1,"142.00",2,0,"No","49.908738","-109.479103",100,"0","Not Protected","Urban","2012-09-05 1:51:24 PM","2019-05-17 5:00:01 AM"
"21483","00","FCC Casselman","530","Farm Credit Canada","45 ","Office","24","Lease or Licence","00","No Restriction","100 - 1 Industriel Street","Casselman","3502044","Casselman","35","Ontario","031","Glengarry--Prescott--Russell","CA","Canada","","","0.0000",1,"374.00",0,0,"Yes","45.307000","-75.079700",100,"0","Not Protected","Urban","2012-09-14 1:11:38 PM","2021-04-09 12:00:00 PM"
"21487","00","Fisheries and Oceans Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","165 John Yeo Drive","","1102075","Charlottetown","11","Prince Edward Island","002","Charlottetown","CA","Canada","","","0.0550",1,"1617.00",24,0,"No","46.277312","-63.149948",20,"0","Not Protected","Urban","2012-10-10 2:18:13 PM","2021-07-19 12:00:00 PM"
"21488","00","Uptown Mall Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","333 Edwards Avenue","","4621052","Kelsey","46","Manitoba","003","Churchill--Keewatinook Aski","CA","Canada","","","0.0000",1,"386.00",2,0,"No","53.823280","-101.250240",100,"0","Not Protected","Rural","2012-09-26 1:02:02 PM","2019-04-18 5:00:00 AM"
"21493","00","1405 Douglas Street Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","1405 Douglas Street","","5917034","Victoria","59","British Columbia","041","Victoria","CA","Canada","","","0.0000",1,"521.00",0,1,"No","48.427390","-123.364080",19,"0","Not Protected","Urban","2012-10-05 4:01:33 PM","2021-07-19 12:00:00 PM"
"21494","00","3179 Jacklin Road Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","3179 Jacklin Road","","5917041","Colwood","59","British Columbia","026","Esquimalt--Saanich--Sooke","CA","Canada","","","0.0000",1,"337.00",0,0,"No","48.434594","-123.514315",10,"0","Not Protected","Urban","2012-10-05 4:01:33 PM","2021-07-19 12:00:00 PM"
"21495","00","250 York Street Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","250 York Street","","3539036","London","35","Ontario","052","London North Centre","CA","Canada","","","0.0000",1,"660.00",3,0,"No","42.983025","-81.245102",25,"0","Not Protected","Urban","2019-12-06 12:00:00 PM","2019-12-12 5:00:00 AM"
"21496","00","3229 Des Quatre-Bourgeois Rd Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","3229 Des Quatre-Bourgeois Rd","","2423027","Québec","24","Quebec","044","Louis-Hébert","CA","Canada","","","0.0000",1,"1834.00",0,0,"No","46.767040","-71.310070",100,"0","Not Protected","Urban","2012-10-10 11:27:49 AM","2019-04-18 5:00:00 AM"
"21497","00","1263 Broadway West Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","1263 West Broadway","","5915022","Vancouver","59","British Columbia","036","Vancouver Granville","CA","Canada","","","0.0000",1,"970.00",0,0,"No","49.263712","-123.133193",32,"0","Not Protected","Urban","2012-10-11 1:56:47 PM","2021-07-19 12:00:00 PM"
"21499","00","Milne Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","754 Fort Street","","5917034","Victoria","59","British Columbia","041","Victoria","CA","Canada","","","0.0000",1,"1239.00",0,0,"No","48.424619","-123.363827",28,"0","Not Protected","Urban","2012-10-15 1:23:40 PM","2021-07-19 12:00:00 PM"
"21500","00","33991 Gladys Avenue Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","33991 Gladys Avenue","","5909052","Abbotsford","59","British Columbia","001","Abbotsford","CA","Canada","","","0.0000",1,"5459.00",18,0,"No","49.045054","-122.281960",42,"0","Not Protected","Rural","2012-10-15 1:23:40 PM","2021-07-19 12:00:00 PM"
"21501","00","DFO Fisheries Service Centre Site - Northport","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","7 Lupin Lane","Alberton","1103050","Northport","11","Prince Edward Island","003","Egmont","CA","Canada","","","0.0250",1,"598.00",5,0,"No","46.794428","-64.064536",20,"0","Not Protected","Rural","2012-10-17 11:07:58 AM","2021-07-19 12:00:00 PM"
"21502","00","139 Douglastown Boulevard Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","139 Douglastown Boulevard","","1309050","Miramichi","13","New Brunswick","006","Miramichi--Grand Lake","CA","Canada","","","0.0000",1,"2690.00",16,0,"No","47.039465","-65.493274",20,"0","Not Protected","Rural","2012-10-19 1:58:57 PM","2021-07-19 12:00:00 PM"
"21503","00","Appleview Square Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","676 Appleby Line","","3524002","Burlington","35","Ontario","015","Burlington","CA","Canada","","","0.0000",1,"412.00",0,0,"No","43.371405","-79.762129",20,"0","Not Protected","Urban","2012-10-22 1:18:40 PM","2019-05-17 5:00:01 AM"
"21504","00","457 Wolverine St Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","457 Wolverine Road","","2499814","Chisasibi","24","Quebec","001","Abitibi--Baie-James--Nunavik--Eeyou","CA","Canada","","","0.0000",1,"135.00",0,0,"No","53.782620","-78.893230",100,"0","Not Protected","Rural","2013-12-12 10:59:31 AM","2021-07-19 12:00:00 PM"
"21555","00","South Hill Mall Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","2995 - 2nd Avenue W; Lot 46, Block 42, Plan 71PA14807","","4715066","Prince Albert","47","Saskatchewan","006","Prince Albert","CA","Canada","","","0.0000",1,"560.00",4,0,"No","53.185610","-105.762710",75,"0","Not Protected","Urban","2012-11-06 2:13:29 PM","2019-04-18 5:00:00 AM"
"21557","00","10345 104 St NW Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","10345 104 Street NW","","4811061","Edmonton","48","Alberta","014","Edmonton Centre","CA","Canada","","","0.0000",1,"1304.00",0,11,"No","53.545631","-113.498903",50,"0","Not Protected","Urban","2012-11-06 2:13:29 PM","2019-11-28 9:11:28 AM"
"21559","00","Inuksugait Plaza, Phase IV Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","1106 Ikaluktuutiak Drive; Lot 6 Block 48 Plan 4154","","6204003","Iqaluit","62","Nunavut","001","Nunavut","CA","Canada","","","0.0000",1,"1560.00",25,0,"No","63.751286","-68.526364",25,"0","Not Protected","Rural","2012-11-28 3:04:36 PM","2020-03-06 5:00:00 AM"
"21570","00","3292 Production Way Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","3292 Production Way","","5915025","Burnaby","59","British Columbia","002","Burnaby North--Seymour","CA","Canada","","","0.0000",1,"583.00",0,0,"No","49.253770","-122.918200",51,"0","Not Protected","Urban","2012-11-14 4:30:12 PM","2021-07-19 12:00:00 PM"
"21581","00","Building","060","Global Affairs Canada","45 ","Office","24","Lease or Licence","00","No Restriction","Protected","Protected","","","","","","","US","United States","005","Buffalo, New York","0.0000",1,"20.00",0,0,"Yes","Protected","Protected",0,"2","Specific Location Protected","","2020-09-30 12:00:00 PM","2020-10-01 5:00:00 AM"
"21595","00","14 Cedar Point Drive Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","14 Cedar Point Drive","","3543042","Barrie","35","Ontario","005","Barrie--Springwater--Oro-Medonte","CA","Canada","","","0.0000",1,"618.00",0,2,"No","44.380098","-79.714477",25,"0","Not Protected","Urban","2012-12-04 12:39:47 PM","2019-05-17 5:00:01 AM"
"21598","00","2291 Kipling Avenue Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","2291 Kipling Avenue","","3520005","Toronto","35","Ontario","029","Etobicoke North","CA","Canada","","","0.0000",1,"762.00",0,0,"No","43.728733","-79.573678",25,"0","Not Protected","Urban","2012-12-04 4:21:26 PM","2019-05-17 5:00:01 AM"
"21656","00","Ottawa Head Office East Tower","400","Canada Post","45 ","Office","10","Crown Owned","00","No Restriction","2701 Riverside Drive Ottawa ON K1A0B1","","3506008","Ottawa","35","Ontario","077","Ottawa South","CA","Canada","","","0.0500",1,"1.00",0,0,"Yes","45.376609","-75.689445",50,"0","Not Protected","Rural","2013-01-03 1:57:59 PM","2021-07-19 12:00:00 PM"
"21694","00","1660 Royale St. Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","1660 Royale Street","","2437067","Trois-Rivières","24","Quebec","076","Trois-Rivières","CA","Canada","","","0.0000",1,"1149.00",0,0,"No","46.340480","-72.545590",100,"0","Not Protected","Rural","2013-02-04 4:39:08 PM","2021-07-19 12:00:00 PM"
"21700","00","Saint-Georges Place Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","184 Des Bois-Francs Blvd North","","2439062","Victoriaville","24","Quebec","061","Richmond--Arthabaska","CA","Canada","","","0.0000",1,"327.00",6,0,"No","46.061479","-71.956750",100,"0","Not Protected","Urban","2013-02-06 10:55:40 AM","2019-11-28 9:11:28 AM"
"21718","00","310 Water Street Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","310 Water Street","","3515014","Peterborough","35","Ontario","084","Peterborough--Kawartha","CA","Canada","","","0.0000",1,"599.00",3,0,"No","44.303370","-78.318083",20,"0","Not Protected","Urban","2013-02-14 2:48:21 PM","2019-05-17 5:00:01 AM"
"21721","00","6500 TransCanada Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","6500 Transcanada Highway","","2466097","Pointe-Claire","24","Quebec","036","Lac-Saint-Louis","CA","Canada","","","0.0000",1,"692.00",0,0,"No","45.463769","-73.823344",100,"0","Not Protected","Urban","2013-02-18 4:46:33 PM","2019-05-17 5:00:01 AM"
"21723","00","FCC New Liskeard","530","Farm Credit Canada","45 ","Office","24","Lease or Licence","00","No Restriction","247 Whitewood Avenue unit 49","New Liskeard","3554020","Temiskaming Shores","35","Ontario","070","Nipissing--Timiskaming","CA","Canada","","","0.0000",1,"57.00",0,0,"Yes","47.509410","-79.681654",100,"0","Not Protected","Rural","2013-02-15 2:38:02 PM","2022-11-07 12:00:00 PM"
"21729","00","Buffalo Narrows Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","Unit 5 - 1491 Pedersen Avenue; Block W Plan 102009204","","4718070","Buffalo Narrows","47","Saskatchewan","003","Desnethé--Missinippi--Churchill River","CA","Canada","","","0.0000",1,"101.00",1,0,"No","55.864510","-108.481910",50,"0","Not Protected","Rural","2013-02-25 1:21:27 PM","2019-04-18 5:00:00 AM"
